section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,3,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,782,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,10606482,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,1053400,12684101,12,0,161583,11.293145,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1087001,11360941,10,0,7542,10.115085,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1087001,11336489,10,0,12833,10.093314,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,1053400,10957803,10,0,20750,9.756155,,,,,,,,,,,,,,
instruction,BR_ID,,36,1053451,10764164,10,0,31833,9.583751,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1053401,10688556,10,0,11917,9.516434,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,837203,8483619,10,0,6125,7.553294,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,803451,8124401,10,0,4958,7.233468,,,,,,,,,,,,,,
instruction,BRTF_ID_ID_REG,,39,586900,6211706,10,0,9459,5.530522,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,586900,6139467,10,0,7250,5.466205,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,586901,6092129,10,0,10333,5.424058,,,,,,,,,,,,,,
instruction,INC_REG,,28,500000,5108535,10,0,16333,4.548326,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,250002,2623345,10,0,8000,2.335665,,,,,,,,,,,,,,
instruction,NULL_REG,,14,50,814420,16288,41,28750,0.725110,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,33450,366270,10,0,9042,0.326104,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,33551,347336,10,0,5792,0.309247,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1,33583,33583,33583,33583,0.029900,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1,32209,32209,32209,32209,0.028677,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,1,24041,24041,24041,24041,0.021405,,,,,,,,,,,,,,
