entry,rank,name,metric,module,kind,count,total_ns,average_ns,completed,unwound,return_type,args,status
sieve-noopt,1,awfy_sieve.main,elapsed,benchmark_awfy_sieve_noopt,procedure,1,220470583,220470583,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,inclusive_body,benchmark_awfy_sieve_noopt,procedure,1,220450833,220450833,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,self,benchmark_awfy_sieve_noopt,procedure,1,360624,360624,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,native_child,benchmark_awfy_sieve_noopt,procedure,1,0,0,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,entry_overhead,benchmark_awfy_sieve_noopt,procedure,1,19250,19250,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,exit_overhead,benchmark_awfy_sieve_noopt,procedure,1,500,500,1,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,elapsed,benchmark_awfy_sieve_noopt,procedure,50,220090209,4401804,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,inclusive_body,benchmark_awfy_sieve_noopt,procedure,50,220076378,4401527,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,self,benchmark_awfy_sieve_noopt,procedure,50,220076378,4401527,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,native_child,benchmark_awfy_sieve_noopt,procedure,50,0,0,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,entry_overhead,benchmark_awfy_sieve_noopt,procedure,50,6707,134,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,exit_overhead,benchmark_awfy_sieve_noopt,procedure,50,7124,142,50,0,.int,,complete
sieve-opt,1,awfy_sieve.main,elapsed,benchmark_awfy_sieve_opt,procedure,1,200128917,200128917,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,inclusive_body,benchmark_awfy_sieve_opt,procedure,1,200124666,200124666,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,self,benchmark_awfy_sieve_opt,procedure,1,200124666,200124666,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,native_child,benchmark_awfy_sieve_opt,procedure,1,0,0,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,entry_overhead,benchmark_awfy_sieve_opt,procedure,1,3792,3792,1,0,.int,,complete
