section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,757,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,19800295,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,DCALL_REG_REG_REG,,47,1200001,109183491,90,0,54208,29.376519,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2200004,31406083,14,0,17334,8.450008,,,,,,,,,,,,,,
instruction,RET_INT,,50,1100001,29771169,27,0,15667,8.010124,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,1100000,18350250,16,0,17333,4.937253,,,,,,,,,,,,,,
instruction,SRCMETHODSEL_REG_REG_STRING,,57,1100000,15904713,14,0,9000,4.279265,,,,,,,,,,,,,,
instruction,SETNUMCAS_INT,,255,1200006,15118046,12,0,7334,4.067607,,,,,,,,,,,,,,
instruction,SETNUMDGTS_INT,,246,1200006,15039372,12,0,33209,4.046440,,,,,,,,,,,,,,
instruction,SETNUMFRM_INT,,252,1200006,14906987,12,0,34083,4.010821,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1200022,14737895,12,0,17584,3.965325,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,1200006,14721161,12,0,31667,3.960823,,,,,,,,,,,,,,
instruction,SETNUMSTD_INT,,258,1200006,14696264,12,0,6917,3.954124,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1100002,14213540,12,0,14708,3.824244,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,1100001,14101162,12,0,35375,3.794008,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,1100004,13743701,12,0,5834,3.697831,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,1100000,13667727,12,0,6959,3.677390,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1100026,13409715,12,0,9667,3.607970,,,,,,,,,,,,,,
instruction,RET_REG,,49,100005,3339822,33,0,4417,0.898601,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,100001,1892270,18,0,18875,0.509127,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,100001,1435986,14,0,8667,0.386361,,,,,,,,,,,,,,
instruction,SETOBJTYPE_REG_STRING,,56,100001,1307610,13,0,583,0.351821,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,4,399292,99823,375,389500,0.107432,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1,56708,56708,56708,56708,0.015258,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,9,37626,4180,42,36167,0.010124,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,2,27083,13541,83,27000,0.007287,,,,,,,,,,,,,,
instruction,BR_ID,,36,1,26833,26833,26833,26833,0.007220,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,4,26458,6614,0,25333,0.007119,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,64,24381,380,0,17417,0.006560,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,3,20459,6819,542,19208,0.005505,,,,,,,,,,,,,,
instruction,STOI_REG,,237,2,17625,8812,84,17541,0.004742,,,,,,,,,,,,,,
instruction,STRUPPER_REG_REG,,158,4,10332,2583,42,8791,0.002780,,,,,,,,,,,,,,
