section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,744,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,145210032,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,19150000,424399073,22,0,1010292,18.046389,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,29110002,382236476,13,0,2664500,16.253542,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,20480000,285707117,13,0,1368459,12.148899,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,745000,149142116,200,83,1511417,6.341853,,,,,,,,,,,,,,
instruction,BGETU8_REG_REG_REG,,585,9020000,126985665,14,0,185792,5.399712,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,8335000,110844147,13,0,208500,4.713339,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,3610001,95675382,26,0,795958,4.068329,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,6115001,84127983,13,0,865333,3.577308,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,6205000,82796654,13,0,124667,3.520697,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,5355001,76923076,14,0,53083,3.270940,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,5265001,69671021,13,0,92958,2.962566,,,,,,,,,,,,,,
instruction,BR_ID,,36,4995001,63209071,12,0,240792,2.687790,,,,,,,,,,,,,,
instruction,BRTF_ID_ID_REG,,39,4265000,56379310,13,0,40500,2.397373,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,3690000,51989904,14,0,30041,2.210726,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,3705001,51080798,13,0,22209,2.172069,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,3695003,48161157,13,0,111000,2.047919,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_REG,,107,1390000,20795357,14,0,17167,0.884265,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_REG,,100,1295000,18985530,14,0,24333,0.807307,,,,,,,,,,,,,,
instruction,SETNUMDGTS_INT,,246,745001,15766739,21,0,15750,0.670437,,,,,,,,,,,,,,
instruction,RET_INT,,50,510001,14545984,28,0,20708,0.618527,,,,,,,,,,,,,,
instruction,RET_REG,,49,235000,13894086,59,0,70500,0.590807,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,790001,11568920,14,0,18334,0.491936,,,,,,,,,,,,,,
instruction,INE_REG_REG_INT,,103,705000,10216227,14,0,12292,0.434417,,,,,,,,,,,,,,
instruction,SETNUMCAS_INT,,255,745001,10024724,13,0,18834,0.426273,,,,,,,,,,,,,,
instruction,SETNUMFRM_INT,,252,745001,9870010,13,0,7917,0.419695,,,,,,,,,,,,,,
instruction,SETNUMSTD_INT,,258,745001,9788589,13,0,35459,0.416232,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,745001,9783947,13,0,15042,0.416035,,,,,,,,,,,,,,
instruction,NULL_REG,,14,535000,7218363,13,0,18583,0.306941,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,110000,3912022,35,0,75875,0.166348,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,265000,3797512,14,0,7500,0.161479,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,220000,3086953,14,0,7792,0.131264,,,,,,,,,,,,,,
