section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,739,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,145210032,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,19150000,418890225,21,0,109375,18.209777,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,29110002,374530849,12,0,317625,16.281409,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,20480000,281265972,13,0,390042,12.227047,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,745000,141912977,190,83,154125,6.169167,,,,,,,,,,,,,,
instruction,BGETU8_REG_REG_REG,,585,9020000,124492662,13,0,58083,5.411880,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,8335000,109373616,13,0,613125,4.754633,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,3610001,91092311,25,0,36042,3.959917,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,6115001,82666306,13,0,87000,3.593626,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,6205000,82123400,13,0,25000,3.570026,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,5355001,75593431,14,0,27083,3.286158,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,5265001,68947055,13,0,27542,2.997230,,,,,,,,,,,,,,
instruction,BR_ID,,36,4995001,62433240,12,0,93208,2.714065,,,,,,,,,,,,,,
instruction,BRTF_ID_ID_REG,,39,4265000,55097943,12,0,48416,2.395189,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,3690000,51473620,13,0,48875,2.237634,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,3705001,49574879,13,0,11667,2.155093,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,3695003,47246443,12,0,76417,2.053873,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_REG,,107,1390000,19999956,14,0,290625,0.869428,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_REG,,100,1295000,18418124,14,0,17833,0.800663,,,,,,,,,,,,,,
instruction,SETNUMDGTS_INT,,246,745001,15705344,21,0,11416,0.682735,,,,,,,,,,,,,,
instruction,RET_INT,,50,510001,14082243,27,0,20750,0.612176,,,,,,,,,,,,,,
instruction,RET_REG,,49,235000,13372411,56,0,14542,0.581318,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,790001,11344309,14,0,17541,0.493154,,,,,,,,,,,,,,
instruction,SETNUMCAS_INT,,255,745001,9872254,13,0,11708,0.429161,,,,,,,,,,,,,,
instruction,INE_REG_REG_INT,,103,705000,9870492,14,0,14625,0.429085,,,,,,,,,,,,,,
instruction,SETNUMSTD_INT,,258,745001,9748960,13,0,11583,0.423802,,,,,,,,,,,,,,
instruction,SETNUMFRM_INT,,252,745001,9726413,13,0,8792,0.422822,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,745001,9656889,12,0,30375,0.419799,,,,,,,,,,,,,,
instruction,NULL_REG,,14,535000,7047055,13,0,8500,0.306346,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,265000,3766771,14,0,10875,0.163747,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,110000,3651289,33,0,13458,0.158727,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,220000,3012511,13,0,10375,0.130958,,,,,,,,,,,,,,
