section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,749,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,9519232,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,1053400,15542925,14,0,130250,12.226293,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1087001,14367714,13,0,228625,11.301855,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,1053400,13715436,13,0,31125,10.788763,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1053401,13204552,12,0,41666,10.386895,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,837153,10250564,12,0,34833,8.063244,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,803451,10224667,12,0,47875,8.042873,,,,,,,,,,,,,,
instruction,BRTF_ID_ID_REG,,39,586900,10013283,17,0,2520041,7.876595,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,586900,7601946,12,0,18333,5.979802,,,,,,,,,,,,,,
instruction,BLT_ID_REG_INT,,357,586900,7450213,12,0,278708,5.860447,,,,,,,,,,,,,,
instruction,BR_ID,,36,553451,6864178,12,0,103333,5.399463,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,500000,6199996,12,0,13333,4.877008,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,500101,6096842,12,0,9542,4.795865,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,250002,3412741,13,0,25791,2.684512,,,,,,,,,,,,,,
instruction,NULL_REG,,14,50,1028626,20572,125,54125,0.809132,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,33450,462696,13,0,8542,0.363963,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,33551,450919,13,0,3916,0.354700,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,51,43288,848,0,33333,0.034051,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,1,25417,25417,25417,25417,0.019993,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,1,23625,23625,23625,23625,0.018584,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,1,22292,22292,22292,22292,0.017535,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,1,22042,22042,22042,22042,0.017339,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1,16666,16666,16666,16666,0.013110,,,,,,,,,,,,,,
instruction,STOI_REG,,237,1,15000,15000,15000,15000,0.011799,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2,13291,6645,125,13166,0.010455,,,,,,,,,,,,,,
instruction,APPEND_REG_REG,,143,1,9000,9000,9000,9000,0.007080,,,,,,,,,,,,,,
instruction,SETNUMDGTS_INT,,246,1,8208,8208,8208,8208,0.006457,,,,,,,,,,,,,,
instruction,SETNUMSTD_INT,,258,1,8208,8208,8208,8208,0.006457,,,,,,,,,,,,,,
instruction,SAY_REG,,450,1,8042,8042,8042,8042,0.006326,,,,,,,,,,,,,,
instruction,MINATTRS_REG_INT,,222,1,7458,7458,7458,7458,0.005867,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,1,7375,7375,7375,7375,0.005801,,,,,,,,,,,,,,
instruction,INE_REG_REG_INT,,103,50,6960,139,0,584,0.005475,,,,,,,,,,,,,,
