section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,755,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,27600883,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,432950,74773512,172,41,53500,13.796108,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1008101,69241673,68,0,100709,12.775454,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,4897351,67672888,13,0,200875,12.486005,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,3133001,45188999,14,0,884667,8.337609,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,2882951,40495126,14,0,153209,7.471565,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2447400,35315059,14,0,24333,6.515815,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,1731100,30857321,17,0,455417,5.693339,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,2014400,28839584,14,0,86458,5.321056,,,,,,,,,,,,,,
