section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,765,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,8764283,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,620161,1564978461,2523,0,8393708,68.530814,,,,,,,,,,,,,,
instruction,INSATTRS1_REG_REG_REG,,551,95560,297074017,3108,0,2873291,13.008948,,,,,,,,,,,,,,
instruction,RET_REG,,49,150170,259599728,1728,0,2676125,11.367940,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,191130,27923229,146,41,18667,1.222765,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,68262,22996681,336,0,937042,1.007031,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,737220,12809160,17,0,14458,0.560916,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,756671,10064450,13,0,14292,0.440725,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,655341,8901782,13,0,17500,0.389811,,,,,,,,,,,,,,
