section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,761,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,130268762,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,FADD_REG_REG_REG,,300,24585141,327608835,13,0,26875,19.771095,,,,,,,,,,,,,,
instruction,FMULT_REG_REG_REG,,305,24585141,322351691,13,0,83333,19.453828,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,16958927,203512501,12,0,17958,12.281918,,,,,,,,,,,,,,
instruction,FMULT_REG_REG_FLOAT,,306,8445547,111662552,13,0,17167,6.738801,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,8696048,107722907,12,0,83666,6.501045,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,8544877,105412916,12,0,99084,6.361638,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,8445547,104283710,12,0,28875,6.293491,,,,,,,,,,,,,,
instruction,FSUB_REG_REG_REG,,302,8195047,104012944,12,0,29209,6.277150,,,,,,,,,,,,,,
