section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,735,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,10606482,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,1053400,15718713,14,0,118291,11.119580,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1087001,14617429,13,0,32750,10.340520,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1087001,14140625,13,0,39750,10.003224,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,1053400,13995494,13,0,20167,9.900557,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1053401,13656388,12,0,23042,9.660670,,,,,,,,,,,,,,
instruction,BR_ID,,36,1053451,13218987,12,0,13209,9.351248,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,837203,10819452,12,0,35708,7.653792,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,803451,10607404,13,0,18334,7.503787,,,,,,,,,,,,,,
