entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-retained,1,3,91,BRF_ID_REG,30373,396833,13,0,3500,1.508332,complete
rexxcps-opaque-retained,2,7,109,ENDLIFE_REG,14337,182962,12,0,250,0.695425,complete
rexxcps-opaque-retained,3,6,109,NULL_REG,14326,185244,12,0,167,0.704098,complete
rexxcps-opaque-retained,4,8,109,ICOPY_REG_REG,11501,148345,12,0,1000,0.563848,complete
rexxcps-opaque-retained,5,9,109,IEQ_REG_REG_INT,9390,121969,12,0,333,0.463595,complete
rexxcps-opaque-retained,6,10,91,SCOPY_REG_REG,8489,114837,13,0,917,0.436487,complete
rexxcps-opaque-retained,7,11,109,BR_ID,8297,100932,12,0,2666,0.383635,complete
rexxcps-opaque-retained,8,12,109,BRT_ID_REG,7711,96824,12,0,291,0.368021,complete
rexxcps-opaque-retained,9,13,109,LOAD_REG_INT,7086,89982,12,0,167,0.342015,complete
rexxcps-opaque-retained,10,15,85,IADD_REG_REG_INT,5842,83683,14,0,6959,0.318073,complete
rexxcps-opaque-retained,11,14,81,STRCHAR_REG_REG_REG,5826,89308,15,0,292,0.339453,complete
rexxcps-opaque-retained,12,16,91,UNLINK_REG,5518,72354,13,0,333,0.275012,complete
rexxcps-opaque-retained,13,17,109,IGT_REG_REG_REG,5325,67658,12,0,209,0.257163,complete
rexxcps-opaque-retained,14,21,91,LINKATTR1_REG_REG_INT,3415,45605,13,0,500,0.173341,complete
rexxcps-opaque-retained,15,24,123,IADD_REG_REG_REG,3383,40257,11,0,167,0.153014,complete
rexxcps-opaque-retained,16,22,91,ILT_REG_REG_INT,3303,44397,13,0,167,0.168750,complete
rexxcps-opaque-retained,17,19,85,LOAD_REG_STRING,3257,47850,14,0,333,0.181874,complete
rexxcps-opaque-retained,18,23,91,ISUB_REG_REG_INT,3061,40699,13,0,166,0.154694,complete
