entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,warmup,1,201573000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,warmup,2,198000000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,recorded,1,199203000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,recorded,2,196034000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,recorded,3,232603000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,recorded,4,230278000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,recorded,5,204432000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,recorded,6,198769000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-vm,Runtime interface lookup,baseline,opt-retained-baseline-vm,process,recorded,7,219610000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,warmup,1,108084000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,warmup,2,102042000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,recorded,1,102927000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,recorded,2,133241000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,recorded,3,135496000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,recorded,4,128031000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,recorded,5,106384000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,recorded,6,104781000,0,pass
runtime-interface-retained-candidate,runtime-interface-retained-vm,Runtime interface lookup,candidate,opt-retained-candidate-vm,process,recorded,7,104847000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,warmup,1,178405000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,warmup,2,162926000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,recorded,1,172240000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,recorded,2,163949000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,recorded,3,170090000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,recorded,4,169047000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,recorded,5,194721000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,recorded,6,199595000,0,pass
runtime-interface-stripped-baseline,runtime-interface-stripped-vm,Runtime interface lookup,baseline,opt-stripped-baseline-vm,process,recorded,7,168533000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,warmup,1,125734000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,warmup,2,109905000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,recorded,1,107644000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,recorded,2,106878000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,recorded,3,107155000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,recorded,4,109196000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,recorded,5,106560000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,recorded,6,108725000,0,pass
runtime-interface-stripped-candidate,runtime-interface-stripped-vm,Runtime interface lookup,candidate,opt-stripped-candidate-vm,process,recorded,7,105617000,0,pass
