section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,812,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,19362656,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,109171,56423222,516,0,151417,12.104322,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,2930580,48793221,16,0,59334,10.467478,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,99311,29327523,295,41,26291,6.291555,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,7,23940958,3420136,3176000,3730708,5.135989,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1343104,22932115,17,0,25334,4.919565,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,1359846,22603462,16,0,30416,4.849060,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1122083,18901785,16,0,21041,4.054949,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,908904,15591426,17,0,17750,3.344787,,,,,,,,,,,,,,
