section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,882,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,19362656,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,109171,49649697,454,0,17792,11.815966,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,2930580,44993086,15,0,24042,10.707755,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,7,25946833,3706690,3585250,4151458,6.175000,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,99311,24931421,251,41,15791,5.933346,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,1359846,21036781,15,0,17583,5.006473,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1343104,20876635,15,0,10166,4.968361,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1122083,17208105,15,0,7375,4.095300,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,908904,14276013,15,0,15125,3.397501,,,,,,,,,,,,,,
