entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-heavy-retained,1,2,87,BRF_ID_REG,2930580,45819291,15,0,9292,10.804658,complete
rexxcps-opaque-heavy-retained,2,6,87,ENDLIFE_REG,1359846,20934562,15,0,12167,4.936584,complete
rexxcps-opaque-heavy-retained,3,5,87,NULL_REG,1343104,21162645,15,0,15042,4.990369,complete
rexxcps-opaque-heavy-retained,4,7,87,ICOPY_REG_REG,1122083,17368275,15,0,6583,4.095617,complete
rexxcps-opaque-heavy-retained,5,8,87,IEQ_REG_REG_INT,908904,14238653,15,0,6000,3.357620,complete
rexxcps-opaque-heavy-retained,6,9,71,SCOPY_REG_REG,812072,13359820,16,0,5959,3.150382,complete
rexxcps-opaque-heavy-retained,7,10,122,BR_ID,798417,11689099,14,0,5375,2.756409,complete
rexxcps-opaque-heavy-retained,8,11,87,BRT_ID_REG,740015,11246872,15,0,7458,2.652128,complete
rexxcps-opaque-heavy-retained,9,13,87,LOAD_REG_INT,652467,9949143,15,0,5042,2.346110,complete
rexxcps-opaque-heavy-retained,10,14,87,IADD_REG_REG_INT,575290,8790678,15,0,6459,2.072932,complete
rexxcps-opaque-heavy-retained,11,12,69,STRCHAR_REG_REG_REG,574681,10153034,17,0,5917,2.394189,complete
rexxcps-opaque-heavy-retained,12,15,87,IGT_REG_REG_REG,510325,7919859,15,0,3250,1.867584,complete
rexxcps-opaque-heavy-retained,13,16,87,UNLINK_REG,497449,7629032,15,0,5959,1.799004,complete
rexxcps-opaque-heavy-retained,14,18,87,IADD_REG_REG_REG,335231,5196454,15,0,2958,1.225377,complete
rexxcps-opaque-heavy-retained,15,19,71,ILT_REG_REG_INT,317925,5155821,16,0,2750,1.215795,complete
rexxcps-opaque-heavy-retained,16,20,87,ISUB_REG_REG_INT,305011,4772014,15,0,3458,1.125290,complete
rexxcps-opaque-heavy-retained,17,21,87,LINKATTR1_REG_REG_INT,304870,4754424,15,0,9875,1.121142,complete
rexxcps-opaque-heavy-retained,18,22,71,LOAD_REG_STRING,277586,4503140,16,0,5708,1.061887,complete
rexxcps-opaque-heavy-retained,19,25,122,IMULT_REG_REG_INT,272223,4057906,14,0,12458,0.956896,complete
rexxcps-opaque-heavy-retained,20,23,71,ILT_REG_REG_REG,268845,4343975,16,0,9083,1.024354,complete
rexxcps-opaque-heavy-retained,21,27,87,IGT_REG_REG_INT,249033,3976734,15,0,333,0.937755,complete
rexxcps-opaque-heavy-retained,22,26,69,IEQ_REG_REG_REG,232254,4032894,17,0,4125,0.950998,complete
rexxcps-opaque-heavy-retained,23,30,87,STRLEN_REG_REG,217040,3324981,15,0,1458,0.784065,complete
rexxcps-opaque-heavy-retained,24,29,71,LINKATTR1_REG_REG_REG,214792,3494490,16,0,334,0.824037,complete
rexxcps-opaque-heavy-retained,25,31,87,SETTP_REG_INT,208433,3262224,15,0,3125,0.769266,complete
