section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,694,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,61797890,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETSTRPOS_REG_REG,,154,685000,259204471,378,0,338208,18.944863,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,11642014,203357346,17,0,915042,14.863081,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,6676007,124329262,18,0,36541,9.087038,,,,,,,,,,,,,,
instruction,NULL_REG,,14,5479002,92136071,16,0,75584,6.734086,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,3078503,62130089,20,0,50709,4.540994,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,3428015,57029284,16,0,50000,4.168184,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2736524,47841986,17,0,72750,3.496698,,,,,,,,,,,,,,
instruction,BR_ID,,36,2734005,43674944,15,0,66750,3.192136,,,,,,,,,,,,,,
