section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,738,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,15591668,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,680969,680095095,998,0,7815458,71.680186,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,2848697,42656004,14,0,31375,4.495828,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,1931019,34698530,17,0,5708458,3.657131,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,119157,25463816,213,83,29916,2.683817,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1628429,24769134,15,0,19834,2.610600,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,1081635,18155590,16,0,21416,1.913550,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1213354,17908893,14,0,30834,1.887549,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,922918,14570719,15,0,29542,1.535714,,,,,,,,,,,,,,
