section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,739,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,10735813,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1556321,748188208,480,0,2885750,78.456181,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,163950,28559574,174,83,17166,2.994801,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,1147171,23928331,20,0,7669125,2.509162,,,,,,,,,,,,,,
instruction,NULL_REG,,14,163960,20178033,123,0,27750,2.115900,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,983320,18236103,18,0,20333,1.912266,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1147171,16057995,13,0,15000,1.683866,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,983761,14335275,14,0,9625,1.503219,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,791892,10958899,13,0,17583,1.149167,,,,,,,,,,,,,,
