pair,baseline_entry,candidate_entry,baseline_mode,candidate_mode,baseline_median_ns,candidate_median_ns,delta_ns,delta_percent
Sieve-retained-vm,sieve-opt-retained-baseline-vm,sieve-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,14258000,14620000,362000,2.539
Sieve-stripped-vm,sieve-opt-stripped-baseline-vm,sieve-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,14507000,15923000,1416000,9.761
Permute-retained-vm,permute-opt-retained-baseline-vm,permute-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,102443000,91616000,-10827000,-10.569
Permute-stripped-vm,permute-opt-stripped-baseline-vm,permute-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,85304000,90574000,5270000,6.178
Mandelbrot-retained-vm,mandelbrot-opt-retained-baseline-vm,mandelbrot-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,176862000,182986000,6124000,3.463
Mandelbrot-stripped-vm,mandelbrot-opt-stripped-baseline-vm,mandelbrot-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,180336000,183213000,2877000,1.595
Towers-retained-vm,towers-opt-retained-baseline-vm,towers-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,761831000,781997000,20166000,2.647
Towers-stripped-vm,towers-opt-stripped-baseline-vm,towers-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,756200000,783160000,26960000,3.565
Bounce-retained-vm,bounce-opt-retained-baseline-vm,bounce-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,402549000,414178000,11629000,2.889
Bounce-stripped-vm,bounce-opt-stripped-baseline-vm,bounce-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,437321000,429290000,-8031000,-1.836
Storage-retained-vm,storage-opt-retained-baseline-vm,storage-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,2035853000,2015338000,-20515000,-1.008
Storage-stripped-vm,storage-opt-stripped-baseline-vm,storage-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,2043557000,2047186000,3629000,0.178
List-retained-vm,list-opt-retained-baseline-vm,list-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,276381000,297891000,21510000,7.783
List-stripped-vm,list-opt-stripped-baseline-vm,list-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,254955000,285962000,31007000,12.162
Richards-retained-vm,richards-opt-retained-baseline-vm,richards-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,721938000,712709000,-9229000,-1.278
Richards-stripped-vm,richards-opt-stripped-baseline-vm,richards-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,708242000,709034000,792000,0.112
JSON-retained-vm,json-opt-retained-baseline-vm,json-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,357548000,381610000,24062000,6.730
JSON-stripped-vm,json-opt-stripped-baseline-vm,json-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,346736000,373619000,26883000,7.753
Base64-retained-vm,base64-opt-retained-baseline-vm,base64-opt-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,415631000,437777000,22146000,5.328
Base64-stripped-vm,base64-opt-stripped-baseline-vm,base64-opt-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,444039000,427459000,-16580000,-3.734
RexxCPS-opaque-heavy-retained-vm,rexxcps-opaque-heavy-retained-baseline-vm,rexxcps-opaque-heavy-retained-candidate-vm,opt-retained-baseline-vm,opt-retained-candidate-vm,138289000,135850000,-2439000,-1.764
RexxCPS-opaque-heavy-stripped-vm,rexxcps-opaque-heavy-stripped-baseline-vm,rexxcps-opaque-heavy-stripped-candidate-vm,opt-stripped-baseline-vm,opt-stripped-candidate-vm,129512000,127593000,-1919000,-1.482
