section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,774,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,159,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,1,6208,6208,6208,6208,15.488636,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,2,5750,2875,1917,3833,14.345949,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,21,5123,243,0,4666,12.781617,,,,,,,,,,,,,,
instruction,SAY_REG,,450,1,5042,5042,5042,5042,12.579526,,,,,,,,,,,,,,
instruction,BEQ_ID_REG_INT,,41,1,3625,3625,3625,3625,9.044186,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,21,3167,150,0,2792,7.901499,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,40,2208,55,0,1625,5.508845,,,,,,,,,,,,,,
instruction,INC2,,34,20,2000,100,0,1666,4.989895,,,,,,,,,,,,,,
instruction,BR_ID,,36,20,1918,95,0,1709,4.785310,,,,,,,,,,,,,,
