entry,rank,name,metric,module,kind,count,total_ns,average_ns,completed,unwound,return_type,args,status
lifecycle-retained-baseline,1,lifecycle_probe.main,elapsed,lifecycle_probe,procedure,1,349250,349250,1,0,.int,,complete
lifecycle-retained-baseline,1,lifecycle_probe.main,inclusive_body,lifecycle_probe,procedure,1,321417,321417,1,0,.int,,complete
lifecycle-retained-baseline,1,lifecycle_probe.main,self,lifecycle_probe,procedure,1,321417,321417,1,0,.int,,complete
lifecycle-retained-baseline,1,lifecycle_probe.main,native_child,lifecycle_probe,procedure,1,0,0,1,0,.int,,complete
lifecycle-retained-baseline,1,lifecycle_probe.main,entry_overhead,lifecycle_probe,procedure,1,18500,18500,1,0,.int,,complete
lifecycle-retained-baseline,1,lifecycle_probe.main,exit_overhead,lifecycle_probe,procedure,1,9333,9333,1,0,.int,,complete
lifecycle-retained-candidate,1,lifecycle_probe.main,elapsed,lifecycle_probe,procedure,1,46791,46791,1,0,.int,,complete
lifecycle-retained-candidate,1,lifecycle_probe.main,inclusive_body,lifecycle_probe,procedure,1,43458,43458,1,0,.int,,complete
lifecycle-retained-candidate,1,lifecycle_probe.main,self,lifecycle_probe,procedure,1,43458,43458,1,0,.int,,complete
lifecycle-retained-candidate,1,lifecycle_probe.main,native_child,lifecycle_probe,procedure,1,0,0,1,0,.int,,complete
lifecycle-retained-candidate,1,lifecycle_probe.main,entry_overhead,lifecycle_probe,procedure,1,2375,2375,1,0,.int,,complete
lifecycle-retained-candidate,1,lifecycle_probe.main,exit_overhead,lifecycle_probe,procedure,1,958,958,1,0,.int,,complete
lifecycle-stripped-baseline,1,lifecycle_probe.main,elapsed,lifecycle_probe,procedure,1,52959,52959,1,0,.int,,complete
lifecycle-stripped-baseline,1,lifecycle_probe.main,inclusive_body,lifecycle_probe,procedure,1,49792,49792,1,0,.int,,complete
lifecycle-stripped-baseline,1,lifecycle_probe.main,self,lifecycle_probe,procedure,1,49792,49792,1,0,.int,,complete
lifecycle-stripped-baseline,1,lifecycle_probe.main,native_child,lifecycle_probe,procedure,1,0,0,1,0,.int,,complete
lifecycle-stripped-baseline,1,lifecycle_probe.main,entry_overhead,lifecycle_probe,procedure,1,2292,2292,1,0,.int,,complete
lifecycle-stripped-baseline,1,lifecycle_probe.main,exit_overhead,lifecycle_probe,procedure,1,875,875,1,0,.int,,complete
lifecycle-stripped-candidate,1,lifecycle_probe.main,elapsed,lifecycle_probe,procedure,1,49875,49875,1,0,.int,,complete
lifecycle-stripped-candidate,1,lifecycle_probe.main,inclusive_body,lifecycle_probe,procedure,1,46625,46625,1,0,.int,,complete
lifecycle-stripped-candidate,1,lifecycle_probe.main,self,lifecycle_probe,procedure,1,46625,46625,1,0,.int,,complete
lifecycle-stripped-candidate,1,lifecycle_probe.main,native_child,lifecycle_probe,procedure,1,0,0,1,0,.int,,complete
lifecycle-stripped-candidate,1,lifecycle_probe.main,entry_overhead,lifecycle_probe,procedure,1,2125,2125,1,0,.int,,complete
lifecycle-stripped-candidate,1,lifecycle_probe.main,exit_overhead,lifecycle_probe,procedure,1,1125,1125,1,0,.int,,complete
