section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,815,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,145210032,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,metadata_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,19150000,486379642,25,0,842750,17.887355,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,29110002,440295199,15,0,1947833,16.192529,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,20480000,323507955,15,0,287875,11.897500,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,745000,186024994,249,83,3875792,6.841354,,,,,,,,,,,,,,
instruction,BGETU8_REG_REG_REG,,585,9020000,145027161,16,0,1808375,5.333596,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,8335000,124949441,14,0,80125,4.595207,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,3610001,114309779,31,0,122750,4.203917,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,6115001,98732429,16,0,2414250,3.631036,,,,,,,,,,,,,,
