entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,warmup,1,105947000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,warmup,2,99216000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,recorded,1,110694000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,recorded,2,103410000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,recorded,3,95908000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,recorded,4,98568000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,recorded,5,94932000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,recorded,6,98789000,0,pass
runtime-interface-retained-c,runtime-interface-retained-C,Runtime interface lookup,candidate,opt-retained-candidate-c-first,process,recorded,7,122551000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,warmup,1,226515000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,warmup,2,268115000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,recorded,1,242398000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,recorded,2,215318000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,recorded,3,218610000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,recorded,4,236966000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,recorded,5,292356000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,recorded,6,221466000,0,pass
runtime-interface-retained-baseline,runtime-interface-retained-C,Runtime interface lookup,baseline,opt-retained-baseline-second,process,recorded,7,214016000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,warmup,1,111545000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,warmup,2,111271000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,recorded,1,108486000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,recorded,2,108489000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,recorded,3,107542000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,recorded,4,109174000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,recorded,5,108491000,0,pass
runtime-interface-stripped-c,runtime-interface-stripped-C,Runtime interface lookup,candidate,opt-stripped-candidate-c-first,process,recorded,6,109000000,0,pass
