rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4395901,10,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_list_opt",0
2,4395901,10,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_list_opt",2
3,4392800,8,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R6;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_list_opt",193
4,3827500,4,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R2;r2=R6","benchmark_awfy_list_opt",199
5,3821700,8,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R7;c1=int:1;r2=R5;c2=int:256;r3=R8;r4=R2;c3=func@6400","benchmark_awfy_list_opt",91
6,3820600,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | RET_REG(r1)","c1=int:1;r1=R2;r2=R4","benchmark_awfy_list_opt",263
7,2015600,4,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r2,r4)","r1=R9;r2=R13;r3=R12;c1=int:1;r4=R10;c2=int:256","benchmark_awfy_list_opt",809
8,1945400,3,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4)","r1=R9;r2=R1;r3=R10;r4=R3","benchmark_awfy_list_opt",786
9,1875200,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r2,r3) | BTOI_REG(r2) | IEQ_REG_REG_INT(r2,r2,c2)","c1=label@830;r1=R11;r2=R12;r3=R1;c2=int:0","benchmark_awfy_list_opt",769
10,1875200,2,1,7,over_3_symbols,"LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R10;r2=R3;r3=R12;c1=int:1;r4=R9;c2=int:256;r5=R13","benchmark_awfy_list_opt",793
11,1875200,2,1,6,over_3_symbols,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R9;r2=R1;r3=R10;r4=R3;r5=R12;c1=int:1","benchmark_awfy_list_opt",788
12,1875200,1,1,5,over_3_symbols,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r3,r4) | BTOI_REG(r3)","r1=R11;r2=R3;c1=label@830;r3=R12;r4=R1","benchmark_awfy_list_opt",766
13,1875200,1,1,4,over_3_symbols,"REFVALID_REG_REG(r1,r2) | BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R12;r2=R1;c1=int:0;c2=label@786","benchmark_awfy_list_opt",772
14,1875200,2,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R10;r2=R3;r3=R12;c1=int:1;r4=R9;c2=int:256","benchmark_awfy_list_opt",791
15,1410400,19,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R18;c1=int:256;r2=R13;r3=R3;r4=R14","benchmark_awfy_list_opt",558
16,842800,4,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R2;r2=R3;r3=R4;r4=R5","benchmark_awfy_list_opt",451
17,842700,11,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | SETTP_REG_INT(r5,c1)","r1=R13;r2=R18;r3=R3;c1=int:256;r4=R14;r5=R4","benchmark_awfy_list_opt",561
18,567700,8,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SETTP_REG_INT(r4,c2)","r1=R12;c1=int:4;r2=R18;c2=int:256;r3=R13;r4=R3","benchmark_awfy_list_opt",555
19,567700,8,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R15;r2=R4;r3=R5;c1=int:256;r4=R16;r5=R2;c2=func@24608;r6=R12","benchmark_awfy_list_opt",573
20,565300,4,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2)","c1=int:1;r1=R2;r2=R3","benchmark_awfy_list_opt",447
21,565300,4,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R2","benchmark_awfy_list_opt",445
22,281000,2,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","c1=int:1;r1=R2;r2=R3;r3=R4","benchmark_awfy_list_opt",449
23,280900,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | REFVALID_REG_REG(r5,r3) | BRF_ID_REG(c1,r5)","r1=R1;r2=R16;r3=R3;r4=R17;r5=R11;c1=label@830","benchmark_awfy_list_opt",760
24,280900,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r1) | BRF_ID_REG(c1,r3) | REFVALID_REG_REG(r4,r5)","r1=R3;r2=R17;r3=R11;c1=label@830;r4=R12;r5=R1","benchmark_awfy_list_opt",763
25,280900,1,1,5,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r1,r4) | REFVALID_REG_REG(r5,r1)","r1=R3;r2=R1;r3=R16;r4=R17;r5=R11","benchmark_awfy_list_opt",758
26,280900,1,1,6,over_3_symbols,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2) | SWAP_REG_REG(r4,r3)","r1=R8;r2=R20;c1=int:3;r3=R31;c2=int:256;r4=R21","benchmark_awfy_list_opt",862
27,280900,1,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | COPY_REG_REG(r1,r3) | COPY_REG_REG(r2,r4)","r1=R1;r2=R3;r3=R16;r4=R17","benchmark_awfy_list_opt",756
28,280900,1,1,6,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R6;r2=R8;r3=R20;c1=int:3;r4=R31;c2=int:256","benchmark_awfy_list_opt",860
29,280900,1,1,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | LOAD_REG_INT(r4,c1)","r1=R4;r2=R6;r3=R8;r4=R20;c1=int:3","benchmark_awfy_list_opt",858
30,280900,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2) | COPY_REG_REG(r1,r3)","c1=int:1;r1=R1;r2=R3;r3=R16","benchmark_awfy_list_opt",754
31,280900,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | BRF_ID_REG(c1,r7)","r1=R31;r2=R21;r3=R33;r4=R22;r5=R32;r6=R23;c1=label@1150;r7=R24","benchmark_awfy_list_opt",889
32,280900,5,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | SWAP_REG_REG(r7,r8)","r1=R18;r2=R13;r3=R3;r4=R14;r5=R4;r6=R15;r7=R5;r8=R16","benchmark_awfy_list_opt",586
33,210700,1,1,3,candidate,"UNLINK_REG(r1) | ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | RET_INT(c1)","r1=R9;r2=R10;c1=int:0","benchmark_awfy_list_opt",832
34,210700,1,1,2,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | ENDLIFE_REG(r2) | ENDLIFE_REG(r1)","r1=R10;r2=R9","benchmark_awfy_list_opt",830
35,210600,3,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R34;r2=R29;r3=R25;c1=int:4;r4=R31;c2=int:256;r5=R26","benchmark_awfy_list_opt",1004
36,210600,3,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | SETTP_REG_INT(r6,c2)","r1=R33;r2=R28;r3=R34;r4=R29;r5=R25;c1=int:4;r6=R31;c2=int:256","benchmark_awfy_list_opt",1001
37,210600,3,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | LOAD_REG_INT(r7,c1)","r1=R4;r2=R27;r3=R33;r4=R28;r5=R34;r6=R29;r7=R25;c1=int:4","benchmark_awfy_list_opt",998
38,70200,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r3) | UNLINK_REG(r4)","c1=label@1150;r1=R24;r2=R23;r3=R32;r4=R22","benchmark_awfy_list_opt",898
39,70200,1,1,4,over_3_symbols,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | RET_INT(c3)","r1=R12;c1=int:0;c2=label@786;c3=int:1","benchmark_awfy_list_opt",775
40,70200,1,1,5,over_3_symbols,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4) | UNLINK_REG(r5)","r1=R23;r2=R32;r3=R22;r4=R33;r5=R21","benchmark_awfy_list_opt",903
41,70200,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r1)","r1=R32;r2=R23;c1=label@1150;r3=R24","benchmark_awfy_list_opt",895
42,70200,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | BRF_ID_REG(c1,r5) | UNLINK_REG(r4)","r1=R33;r2=R22;r3=R32;r4=R23;c1=label@1150;r5=R24","benchmark_awfy_list_opt",892
43,70200,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | RET_REG(r7)","r1=R0;r2=R27;r3=R1;r4=R28;r5=R2;r6=R29;r7=R20","benchmark_awfy_list_opt",1127
44,6200,2,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | MINATTRS_REG_REG_INT(r1,r3,c3) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R4;r2=R11;c1=int:2;r3=R6;c2=int:1;c3=int:0;r4=R5","benchmark_awfy_list_opt",356
45,6200,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_REG(r4,r3,r1) | UNLINK_REG(r1)","r1=R6;r2=R11;c1=int:1;r3=R4;c2=int:0;r4=R5","benchmark_awfy_list_opt",360
46,3400,1,1,6,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R3;r2=R5;r3=R11;r4=R20;c1=int:0;c2=label@650","benchmark_awfy_list_opt",633
47,3400,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2) | IEQ_REG_REG_INT(r3,r4,c2)","c1=int:1;r1=R3;r2=R5;r3=R11;r4=R20;c2=int:0","benchmark_awfy_list_opt",631
48,3200,2,1,6,over_3_symbols,"LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r4,r1)","r1=R1;r2=R2;r3=R15;c1=int:1;c2=int:256;r4=R16","benchmark_awfy_list_opt",600
49,3200,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r5) | LINKREF_REG_REG(r5,r6)","r1=R4;r2=R15;r3=R5;r4=R16;r5=R1;r6=R2","benchmark_awfy_list_opt",592
50,3200,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R1;r2=R2;r3=R15;c1=int:1;c2=int:256","benchmark_awfy_list_opt",598
51,3100,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R9;r3=R4;r4=R7;r5=R11;c1=int:2","benchmark_awfy_list_opt",387
52,3100,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R6;r2=R5;c1=int:1;r3=R4;r4=R11","benchmark_awfy_list_opt",341
53,3100,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r3,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R4;r2=R6;r3=R11;c1=int:2;c2=int:1","benchmark_awfy_list_opt",351
54,3100,1,1,8,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3) | SWAP_REG_REG(r5,r4)","r1=R16;r2=R20;c1=int:1;r3=R14;c2=int:3;r4=R19;c3=int:256;r5=R15","benchmark_awfy_list_opt",650
55,3100,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R5;r2=R11;c1=int:1;r3=R6;r4=R4","benchmark_awfy_list_opt",337
56,3100,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R4;r2=R11;c1=int:1;r3=R6;c2=int:2","benchmark_awfy_list_opt",347
57,3100,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET_REG(r2)","r1=R2;r2=R1;c1=int:2;r3=R4","benchmark_awfy_list_opt",182
