rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,8294876,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c1,r4)","r1=R23;r2=R21;r3=R22;c1=label@218;r4=R24;r5=R12;c2=int:0","benchmark_awfy_mandelbrot_opt",159
2,8195047,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | FSUB_REG_REG_REG(r2,r3,r4) | FADD_REG_REG_REG(r5,r2,r6) | FMULT_REG_REG_FLOAT(r2,r5,c2)","c1=label@218;r1=R24;r2=R25;r3=R17;r4=R16;r5=R20;r6=R13;c2=float@5312","benchmark_awfy_mandelbrot_opt",170
3,8195047,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c1,r2) | FSUB_REG_REG_REG(r4,r5,r6)","c1=label@218;r1=R23;r2=R24;r3=R12;c2=int:0;r4=R25;r5=R17;r6=R16","benchmark_awfy_mandelbrot_opt",163
4,8195047,1,1,6,over_3_symbols,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_FLOAT(r2,r1,c1) | FMULT_REG_REG_REG(r2,r2,r4) | FADD_REG_REG_REG(r4,r2,r5)","r1=R20;r2=R25;r3=R13;c1=float@5312;r4=R15;r5=R6","benchmark_awfy_mandelbrot_opt",177
5,8195047,1,1,6,over_3_symbols,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_REG(r4,r5,r5) | FMULT_REG_REG_REG(r6,r1,r1) | FADD_REG_REG_REG(r2,r4,r6)","r1=R15;r2=R25;r3=R6;r4=R17;r5=R20;r6=R16","benchmark_awfy_mandelbrot_opt",189
6,8195047,1,1,6,over_3_symbols,"FMULT_REG_REG_FLOAT(r1,r2,c1) | FMULT_REG_REG_REG(r1,r1,r3) | FADD_REG_REG_REG(r3,r1,r4) | FMULT_REG_REG_REG(r5,r2,r2)","r1=R25;r2=R20;c1=float@5312;r3=R15;r4=R6;r5=R17","benchmark_awfy_mandelbrot_opt",181
7,8195047,1,1,6,over_3_symbols,"FMULT_REG_REG_REG(r1,r1,r2) | FADD_REG_REG_REG(r2,r1,r3) | FMULT_REG_REG_REG(r4,r5,r5) | FMULT_REG_REG_REG(r6,r2,r2)","r1=R25;r2=R15;r3=R6;r4=R17;r5=R20;r6=R16","benchmark_awfy_mandelbrot_opt",185
8,8195047,1,1,6,over_3_symbols,"FMULT_REG_REG_REG(r1,r2,r2) | FADD_REG_REG_REG(r3,r4,r1) | FGT_REG_REG_FLOAT(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R16;r2=R15;r3=R25;r4=R17;c1=float@12240;c2=label@215","benchmark_awfy_mandelbrot_opt",197
9,8195047,1,1,6,over_3_symbols,"FMULT_REG_REG_REG(r1,r2,r2) | FMULT_REG_REG_REG(r3,r4,r4) | FADD_REG_REG_REG(r5,r1,r3) | FGT_REG_REG_FLOAT(r5,r5,c1)","r1=R17;r2=R20;r3=R16;r4=R15;r5=R25;c1=float@12240","benchmark_awfy_mandelbrot_opt",193
10,8195047,1,1,7,over_3_symbols,"FSUB_REG_REG_REG(r1,r2,r3) | FADD_REG_REG_REG(r4,r1,r5) | FMULT_REG_REG_FLOAT(r1,r4,c1) | FMULT_REG_REG_REG(r1,r1,r6)","r1=R25;r2=R17;r3=R16;r4=R20;r5=R13;c1=float@5312;r6=R15","benchmark_awfy_mandelbrot_opt",173
