rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,2015600,4,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R5;r2=R11;c1=int:2;c2=int:6;r3=R6;r4=R12;c3=int:1;r5=R4","benchmark_awfy_permute_noopt",460
2,1007800,2,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r5,r3) | UNLINK_REG(r3)","r1=R6;r2=R12;c1=int:1;r3=R4;r4=R5;r5=R2","benchmark_awfy_permute_noopt",467
3,1007800,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R4;r2=R5;r3=R6;r4=R2","benchmark_awfy_permute_noopt",471
4,1007800,2,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | ICOPY_REG_REG(r5,r4)","r1=R5;c1=int:6;r2=R6;r3=R12;c2=int:1;r4=R4;r5=R2","benchmark_awfy_permute_noopt",464
5,937001,5,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_permute_noopt",0
6,937001,5,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_permute_noopt",2
7,936950,3,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R6;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_permute_noopt",211
8,936850,4,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R5;c1=int:2;r2=R20;c2=int:256;r3=R6;r4=R7;r5=R3","benchmark_awfy_permute_noopt",302
9,503900,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r3,r5) | UNLINK_REG(r3)","r1=R8;r2=R13;c1=int:1;r3=R9;r4=R7;r5=R2","benchmark_awfy_permute_noopt",530
10,503900,1,1,9,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LINKATTR1_REG_REG_INT(r5,r6,c2) | SETATTRS_REG_INT(r5,c3)","r1=R5;r2=R12;c1=int:1;r3=R6;r4=R4;r5=R8;r6=R11;c2=int:2;c3=int:6","benchmark_awfy_permute_noopt",489
11,503900,1,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3) | RET()","r1=R9;r2=R2;r3=R7","benchmark_awfy_permute_noopt",538
