rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,11807,195,9,2,candidate,"NULL_REG(r1) | NULL_REG(r2)","r1=R31;r2=R32","benchmark_rexxcps_levelb_noopt",416
2,10427,222,5,2,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2)","r1=R28;r2=R29","benchmark_rexxcps_levelb_noopt",1831
3,8149,49,7,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R29;r2=R2;c1=int:0;c2=label@14166","_address",14081
4,3402,9,1,5,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1)","r1=R33;r2=R39;r3=R19;r4=R43;c1=int:44","parseExec",209
5,2809,18,6,4,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R17;r2=R18;r3=R3;c1=label@264","benchmark_rexxcps_levelb_noopt",210
6,2772,18,1,4,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R44;r2=R19;c1=int:0;c2=label@190","parseExec",179
7,2732,17,5,4,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R54;r2=R4;r3=R2;c1=label@821","format",800
8,2663,10,3,5,over_3_symbols,"BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4)","c1=label@920;r1=R60;r2=R50;r3=R48;r4=R56","format",898
9,2520,27,5,4,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R48;r2=R34;c1=int:0;c2=label@482","format",465
10,2254,12,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R46;r2=R19;r3=R45;r4=R35","parseExec",387
11,2218,17,3,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R20;r2=R52;r3=R21;r4=R38","format",859
12,2156,14,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2)","c1=label@233;r1=R43;r2=R33;c2=int:57","parseExec",226
13,2117,32,4,4,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2)","r1=R10;r2=R14;c1=int:0;r3=R17","_address",8106
14,2030,9,1,3,candidate,"IADD_REG_REG_INT(r1,r1,c1) | BR_ID(c2)","r1=R19;c1=int:1;c2=label@202","parseExec",251
15,1848,12,1,4,over_3_symbols,"IGTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R44;r2=R19;r3=R40;c1=label@274","parseExec",264
16,1770,28,3,4,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R54;r2=R32;r3=R21;c1=label@787","format",769
17,1744,33,7,4,over_3_symbols,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R11;r2=R0;c1=int:0;c2=label@13981","_address",13896
18,1698,62,5,3,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3)","r1=R87;r2=R88;r3=R39","benchmark_rexxcps_levelb_noopt",1518
19,1666,30,3,3,candidate,"ICOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R28;r2=R29;c1=label@14074","_address",14056
20,1549,23,7,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R12;r2=R6;c1=label@15702","_address",15697
21,1545,14,4,3,candidate,"BRF_ID_REG(c1,r1) | BR_ID(c2)","c1=label@1985;r1=R86;c2=label@2047","benchmark_rexxcps_levelb_noopt",1980
22,1428,8,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1)","r1=R6;r2=R43;r3=R34;r4=R19;c1=int:1","parseExec",247
23,1428,13,1,4,over_3_symbols,"ILTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R47;r2=R45;c1=int:0;c2=label@408","parseExec",396
24,1428,8,1,4,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r2,r1,r3)","r1=R43;r2=R6;c1=int:10;r3=R34","parseExec",243
25,1410,5,3,5,over_3_symbols,"BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4)","c1=label@1387;r1=R59;r2=R10;r3=R20;r4=R61","format",1288
26,1392,3,2,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BCTP_ID_REG(c1,r3)","r1=R8;r2=R84;c1=label@2618;r3=R55","parseExec",3356
27,1321,52,14,2,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","c1=int:18;c2=int:0","benchmark_rexxcps_levelb_noopt",0
28,1321,52,14,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1)","c1=int:1","benchmark_rexxcps_levelb_noopt",4
29,1321,52,14,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2)","c1=int:0;c2=int:1","benchmark_rexxcps_levelb_noopt",2
30,1308,3,2,3,candidate,"UNLINK_REG(r1) | ICOPY_REG_REG(r2,r3)","r1=R10;r2=R14;r3=R17","_address",8088
31,1294,2,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R12;r2=R4;r3=R13;r4=R8;c1=int:7","stem",200
32,1294,2,1,2,candidate,"IMOD_REG_REG_REG(r1,r1,r2) | UNLINK_REG(r2)","r1=R12;r2=R13","stem",208
33,1294,2,1,4,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r1,r1,r3)","r1=R12;r2=R5;c1=int:31;r3=R4","stem",196
34,1294,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_REG(r3,r3,r1)","r1=R13;r2=R8;c1=int:7;r3=R12","stem",204
35,1294,2,1,6,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IMULT_REG_REG_INT(r4,r5,c1)","r1=R4;r2=R6;r3=R9;r4=R12;r5=R5;c1=int:31","stem",192
36,1286,48,12,1,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","_address",5781
37,1262,4,2,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R25;r2=R2;r3=R24;r4=R4","trace",6519
38,1232,8,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_REG(r1,r2,r3)","c1=label@268;r1=R44;r2=R19;r3=R40","parseExec",261
39,1232,8,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R37;r2=R19;r3=R6;c1=int:0","parseExec",196
40,1232,8,1,4,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R44;r2=R19;r3=R37;c1=label@268","parseExec",257
41,1232,8,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4)","r1=R6;c1=int:0;r2=R44;r3=R19;r4=R40","parseExec",199
42,1115,13,4,3,candidate,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3)","r1=R6;r2=R3;r3=R12","_address",15704
43,1087,15,4,3,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2)","r1=R8;c1=label@5941;r2=R7","_address",5921
44,1082,10,3,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R38;r2=R41;r3=R52;c1=string@31136","format",836
45,1061,11,6,4,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R49;r2=R10;r3=R25;c1=label@430","format",390
46,988,21,6,4,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R23;r2=R41;r3=R5;r4=R34","format",475
47,986,9,2,3,candidate,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3)","r1=R19;r2=R2;r3=R28","_address",14076
48,985,8,4,5,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r4,r1,c1)","r1=R50;r2=R48;r3=R56;r4=R61;c1=int:57","format",901
