section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,763,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,10606482,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,1053400,14452511,13,0,136334,11.111255,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1087001,13544257,12,0,14833,10.412979,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,1053400,13034337,12,0,12083,10.020946,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1087001,12821043,11,0,17584,9.856964,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1053401,12428462,11,0,458,9.555143,,,,,,,,,,,,,,
instruction,BR_ID,,36,1053451,12257949,11,0,11542,9.424051,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,837203,9849641,11,0,1750,7.572516,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,803451,9790975,12,0,959,7.527413,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,586900,7206505,12,0,12417,5.540443,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,586901,7002681,11,0,2833,5.383741,,,,,,,,,,,,,,
instruction,BRTF_ID_ID_REG,,39,586900,6881686,11,0,12833,5.290718,,,,,,,,,,,,,,
instruction,INC_REG,,28,500000,6008016,12,0,12875,4.619031,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,250002,3084649,12,0,9542,2.371513,,,,,,,,,,,,,,
instruction,NULL_REG,,14,50,770369,15407,166,16042,0.592268,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,33450,415320,12,0,1791,0.319303,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,33551,406300,12,0,459,0.312368,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,1,17250,17250,17250,17250,0.013262,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1,10208,10208,10208,10208,0.007848,,,,,,,,,,,,,,
instruction,RET_REG,,49,50,9791,195,83,1625,0.007527,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,1,9667,9667,9667,9667,0.007432,,,,,,,,,,,,,,
instruction,SETNUMFUZ_INT,,249,51,9543,187,0,8333,0.007337,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,1,9541,9541,9541,9541,0.007335,,,,,,,,,,,,,,
instruction,SAY_REG,,450,1,8292,8292,8292,8292,0.006375,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,50,7416,148,41,2125,0.005702,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1,6916,6916,6916,6916,0.005317,,,,,,,,,,,,,,
instruction,SETNUMDGTS_INT,,246,51,6545,128,41,1333,0.005032,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2,6042,3021,333,5709,0.004645,,,,,,,,,,,,,,
instruction,INE_REG_REG_INT,,103,50,3046,60,0,208,0.002342,,,,,,,,,,,,,,
instruction,STOI_REG,,237,1,2041,2041,2041,2041,0.001569,,,,,,,,,,,,,,
instruction,SETNUMSTD_INT,,258,51,1919,37,0,834,0.001475,,,,,,,,,,,,,,
instruction,SETNUMFRM_INT,,252,51,1500,29,0,208,0.001153,,,,,,,,,,,,,,
