section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,759,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,53548348,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,325353,127123890,390,0,779959,12.500612,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,7,78631210,11233030,10911083,11631709,7.732128,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,312076,65728823,210,41,40875,6.463384,,,,,,,,,,,,,,
instruction,NULL_REG,,14,4059755,53108204,13,0,19958,5.222347,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,4119109,52485561,12,0,64708,5.161120,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,3993498,50683115,12,0,22709,4.983878,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,3371406,44235386,13,0,30125,4.349846,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,2410000,34072744,14,0,23625,3.350512,,,,,,,,,,,,,,
instruction,BR_ID,,36,2400963,29063413,12,0,15500,2.857924,,,,,,,,,,,,,,
