section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,767,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,58886883,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETSTRPOS_REG_REG,,154,685000,212488695,310,0,1331458,19.988913,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,11642014,166256755,14,0,33625,15.639852,,,,,,,,,,,,,,
instruction,NULL_REG,,14,5479002,74556974,13,0,19709,7.013610,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,3765000,54357439,14,0,107833,5.113430,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,3078503,51090630,16,0,60125,4.806120,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,3428015,46482930,13,0,39375,4.372671,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2736524,39048027,14,0,29875,3.673267,,,,,,,,,,,,,,
instruction,BR_ID,,36,2734005,36218822,13,0,15959,3.407122,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,2221505,30875198,13,0,17833,2.904445,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,2053001,30214641,14,0,15833,2.842306,,,,,,,,,,,,,,
instruction,BLE_ID_REG_INT,,359,2054000,28024924,13,0,18875,2.636318,,,,,,,,,,,,,,
instruction,BGE_ID_REG_INT,,355,2053001,27892892,13,0,27750,2.623898,,,,,,,,,,,,,,
instruction,RNE_REG_REG_STRING,,567,684000,23437435,34,0,39167,2.204771,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,1366000,19577871,14,0,15541,1.841700,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,1370502,19375546,14,0,38791,1.822667,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,1368501,19119117,13,0,8750,1.798544,,,,,,,,,,,,,,
instruction,BGETU8_REG_REG_REG,,585,1196024,18406086,15,0,34000,1.731469,,,,,,,,,,,,,,
instruction,BSETU8_REG_REG_REG,,592,1197024,17803606,14,0,14500,1.674794,,,,,,,,,,,,,,
instruction,STRPOS_REG_REG_REG,,164,683000,14336023,20,0,18750,1.348597,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_REG,,17,856500,12646085,14,0,16042,1.189623,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_INT,,26,855024,12523821,14,0,32250,1.178122,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,855024,12503814,14,0,24584,1.176240,,,,,,,,,,,,,,
instruction,IDIV_REG_REG_INT,,23,855500,12308774,14,0,10917,1.157892,,,,,,,,,,,,,,
instruction,BGE_ID_REG_REG,,354,856500,11876683,13,0,18250,1.117245,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,856024,11830775,13,0,17459,1.112927,,,,,,,,,,,,,,
instruction,SUBSTRING_REG_REG_REG,,161,685000,10964839,16,0,15208,1.031468,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,685000,9901291,14,0,31625,0.931419,,,,,,,,,,,,,,
instruction,ISUB_REG_INT_REG,,19,685000,9843088,14,0,15334,0.925944,,,,,,,,,,,,,,
instruction,BEQ_ID_REG_INT,,41,685003,9513947,13,0,15125,0.894982,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,685551,9344399,13,0,30583,0.879032,,,,,,,,,,,,,,
