section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,760,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,206702,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,7,713566459,101938065,101588208,102869334,99.427056,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1245,444336,356,0,8250,0.061913,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,30588,380098,12,0,1709,0.052962,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,1291,346531,268,41,3583,0.048285,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,4,270501,67625,334,267292,0.037691,,,,,,,,,,,,,,
instruction,NULL_REG,,14,14325,186844,13,0,209,0.026035,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,13507,176773,13,0,1375,0.024631,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,11525,150854,13,0,1334,0.021020,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,9392,123565,13,0,2042,0.017217,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,8396,115950,13,0,1125,0.016156,,,,,,,,,,,,,,
instruction,BR_ID,,36,8295,100562,12,0,1667,0.014012,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,7443,95378,12,0,208,0.013290,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,7714,93083,12,0,167,0.012970,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,5825,86715,14,0,542,0.012083,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,5842,77778,13,0,250,0.010837,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,5324,75135,14,0,958,0.010469,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,5518,70487,12,0,1125,0.009822,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,1994,59657,29,0,2417,0.008312,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,3415,46820,13,0,375,0.006524,,,,,,,,,,,,,,
instruction,RET_REG,,49,881,46512,52,0,667,0.006481,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,3209,46495,14,0,292,0.006479,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,3417,45564,13,0,750,0.006349,,,,,,,,,,,,,,
instruction,SAY_REG,,450,6,44833,7472,1625,30583,0.006247,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,3383,42362,12,0,125,0.005903,,,,,,,,,,,,,,
instruction,MINATTRS_REG_REG_INT,,223,2126,41072,19,0,1167,0.005723,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,3103,40709,13,0,333,0.005672,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,2733,34997,12,0,333,0.004876,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,2745,34984,12,0,125,0.004875,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,2698,33989,12,0,250,0.004736,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,2523,33378,13,0,417,0.004651,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_REG,,202,2338,32821,14,0,334,0.004573,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_REG,,100,2405,31591,13,0,166,0.004402,,,,,,,,,,,,,,
