rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1122493,201,10,2,candidate,"NULL_REG(r1) | NULL_REG(r2)","r1=R17;r2=R18","benchmark_rexxcps_levelb_noopt",10
2,1004388,223,6,2,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2)","r1=R39;r2=R40","benchmark_rexxcps_levelb_noopt",1983
3,801272,53,8,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R29;r2=R4;c1=int:0;c2=label@14067","_address",13982
4,340201,10,2,5,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1)","r1=R1;r2=R0;r3=R2;r4=R12;c1=int:77","verify",77
5,277200,18,1,4,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R44;r2=R19;c1=int:0;c2=label@190","parseExec",179
6,269438,17,5,4,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R53;r2=R4;r3=R2;c1=label@750","_typedformat",729
7,266201,10,3,5,over_3_symbols,"BRF_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4)","c1=label@849;r1=R59;r2=R49;r3=R47;r4=R55","_typedformat",827
8,265658,19,7,4,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R32;r2=R33;r3=R3;c1=label@438","benchmark_rexxcps_levelb_noopt",384
9,249426,27,5,4,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R47;r2=R33;c1=int:0;c2=label@411","_typedformat",394
10,225406,15,2,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R7;r2=R63;r3=R2;r4=R65","_typedformat",18
11,221404,17,3,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R20;r2=R51;r3=R21;r4=R37","_typedformat",788
12,215600,14,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2)","c1=label@233;r1=R43;r2=R33;c2=int:57","parseExec",226
13,203000,9,1,3,candidate,"IADD_REG_REG_INT(r1,r1,c1) | BR_ID(c2)","r1=R19;c1=int:1;c2=label@202","parseExec",251
14,195365,32,4,4,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2)","r1=R10;r2=R14;c1=int:0;r3=R17","_address",8088
15,184800,12,1,4,over_3_symbols,"IGTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R44;r2=R19;r3=R40;c1=label@274","parseExec",264
16,176605,29,4,4,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R53;r2=R31;r3=R21;c1=label@716","_typedformat",698
17,164422,30,3,3,candidate,"ICOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R28;r2=R29;c1=label@13975","_address",13957
18,161926,33,7,4,over_3_symbols,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R11;r2=R2;c1=int:0;c2=label@13882","_address",13797
19,160494,62,5,3,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3)","r1=R89;r2=R90;r3=R50","benchmark_rexxcps_levelb_noopt",1670
20,154203,14,4,3,candidate,"BRF_ID_REG(c1,r1) | BR_ID(c2)","c1=label@2132;r1=R88;c2=label@2179","benchmark_rexxcps_levelb_noopt",2127
21,145101,24,7,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R12;r2=R6;c1=label@15603","_address",15598
22,142800,8,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1)","r1=R6;r2=R43;r3=R34;r4=R19;c1=int:1","parseExec",247
23,142800,13,1,4,over_3_symbols,"ILTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R47;r2=R45;c1=int:0;c2=label@408","parseExec",396
24,142800,8,1,4,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r2,r1,r3)","r1=R43;r2=R6;c1=int:10;r3=R34","parseExec",243
25,140607,6,4,5,over_3_symbols,"BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4)","c1=label@1316;r1=R58;r2=R10;r3=R20;r4=R60","_typedformat",1217
26,139200,3,2,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BCTP_ID_REG(c1,r3)","r1=R8;r2=R84;c1=label@2618;r3=R55","parseExec",3356
27,130800,3,2,3,candidate,"UNLINK_REG(r1) | ICOPY_REG_REG(r2,r3)","r1=R10;r2=R14;r3=R17","_address",8070
28,129400,2,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R12;r2=R4;r3=R13;r4=R8;c1=int:7","stem",200
29,129400,2,1,2,candidate,"IMOD_REG_REG_REG(r1,r1,r2) | UNLINK_REG(r2)","r1=R12;r2=R13","stem",208
30,129400,2,1,4,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r1,r1,r3)","r1=R12;r2=R5;c1=int:31;r3=R4","stem",196
31,129400,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_REG(r3,r3,r1)","r1=R13;r2=R8;c1=int:7;r3=R12","stem",204
32,129400,2,1,6,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | IMULT_REG_REG_INT(r4,r5,c1)","r1=R4;r2=R6;r3=R9;r4=R12;r5=R5;c1=int:31","stem",192
33,124616,4,2,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R25;r2=R2;r3=R24;r4=R4","trace",6471
34,123201,9,2,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R15;r2=R12;r3=R4;c1=int:0","benchmark_rexxcps_levelb_noopt",198
35,123200,8,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_REG(r1,r2,r3)","c1=label@268;r1=R44;r2=R19;r3=R40","parseExec",261
36,123200,8,1,4,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R44;r2=R19;r3=R37;c1=label@268","parseExec",257
37,123200,8,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4)","r1=R6;c1=int:0;r2=R44;r3=R19;r4=R40","parseExec",199
38,122498,53,15,2,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","c1=int:9;c2=int:0","benchmark_rexxcps_levelb_noopt",0
39,122498,53,15,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1)","c1=int:1","benchmark_rexxcps_levelb_noopt",4
40,122498,53,15,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2)","c1=int:0;c2=int:1","benchmark_rexxcps_levelb_noopt",2
41,119097,49,13,1,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","_address",5763
42,109223,13,4,3,candidate,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3)","r1=R6;r2=R1;r3=R12","_address",15605
43,108002,10,3,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R37;r2=R40;r3=R51;c1=string@28800","_typedformat",765
44,101250,12,7,4,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R48;r2=R10;r3=R25;c1=label@359","_typedformat",319
45,98006,9,2,3,candidate,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3)","r1=R19;r2=R4;r3=R28","_address",13977
46,98000,3,1,4,over_3_symbols,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R89;r2=R97;r3=R93;c1=label@4460","parseExec",3964
47,97613,16,5,3,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2)","r1=R32;c1=label@106;r2=R31","benchmark_rexxcps_levelb_noopt",86
48,94444,21,6,4,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R23;r2=R40;r3=R5;r4=R33","_typedformat",404
49,94243,8,4,5,over_3_symbols,"STRCHAR_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r4,r1,c1)","r1=R49;r2=R47;r3=R55;r4=R60;c1=int:57","_typedformat",830
50,92406,9,3,4,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R47;r2=R11;c1=int:0;c2=label@309","_typedformat",255
51,91000,2,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_INT(r2,r3,c2)","c1=label@4655;r1=R110;r2=R114;r3=R116;c2=int:1","parseExec",4629
52,91000,2,1,5,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | STRCHAR_REG_REG_REG(r3,r4,r1)","r1=R114;r2=R116;c1=int:1;r3=R115;r4=R119","parseExec",4632
53,87232,11,2,4,over_3_symbols,"SUBSTRING_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1)","r1=R17;r2=R18;r3=R20;r4=R21","trace",5853
54,86800,7,1,5,over_3_symbols,"LOAD_REG_STRING(r1,c1) | ILTE_REG_REG_INT(r2,r3,c2)","r1=R44;c1=string@28800;r2=R47;r3=R45;c2=int:0","parseExec",393
55,86690,98,5,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R31;c1=int:2;r2=R24;c2=int:256","benchmark_rexxcps_levelb_noopt",217
56,81465,23,3,2,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R7;r2=R6","_address",5823
57,81401,6,3,3,candidate,"SCOPY_REG_REG(r1,r2) | STRLEN_REG_REG(r3,r1)","r1=R20;r2=R60;r3=R21","_typedformat",929
58,81200,4,1,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r5)","r1=R34;r2=R33;c1=int:48;r3=R43;r4=R35;r5=R40","parseExec",321
59,81200,4,1,4,over_3_symbols,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_REG(r3,r4,r1)","r1=R40;r2=R39;r3=R43;r4=R19","parseExec",161
60,74006,60,8,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R19;c1=string@1760;r2=R12;c2=int:100","benchmark_rexxcps_levelb_noopt",26
61,71404,7,2,3,candidate,"IGT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R60;r2=R21;c1=label@1028","_typedformat",1017
