artifact,opcode,count
A-canonical-noopt,dadd,1
A-canonical-noopt,dsub,0
A-canonical-noopt,dmult,2
A-canonical-noopt,ddiv,0
A-canonical-noopt,dgt,1
A-canonical-noopt,dlt,0
A-canonical-noopt,deq,0
A-canonical-noopt,fadd,5
A-canonical-noopt,fsub,1
A-canonical-noopt,fmult,1
A-canonical-noopt,fdiv,5
A-canonical-noopt,fgt,2
A-canonical-noopt,flt,1
A-canonical-noopt,feq,2
A-canonical-noopt,iadd,0
A-canonical-noopt,isub,2
A-canonical-noopt,imult,1
A-canonical-noopt,idiv,0
A-canonical-noopt,igt,5
A-canonical-noopt,ilt,3
A-canonical-noopt,ieq,9
A-canonical-noopt,ftod,6
A-canonical-noopt,itod,1
A-canonical-noopt,stod,4
A-canonical-noopt,dtos,3
A-canonical-noopt,ftoi,1
A-canonical-noopt,itof,12
A-canonical-noopt,stof,3
A-canonical-noopt,stoi,1
A-canonical-noopt,ftos,6
A-canonical-noopt,itos,43
A-canonical-opt,dadd,1
A-canonical-opt,dsub,0
A-canonical-opt,dmult,2
A-canonical-opt,ddiv,0
A-canonical-opt,dgt,1
A-canonical-opt,dlt,0
A-canonical-opt,deq,0
A-canonical-opt,fadd,4
A-canonical-opt,fsub,1
A-canonical-opt,fmult,1
A-canonical-opt,fdiv,5
A-canonical-opt,fgt,2
A-canonical-opt,flt,1
A-canonical-opt,feq,2
A-canonical-opt,iadd,2
A-canonical-opt,isub,20
A-canonical-opt,imult,1
A-canonical-opt,idiv,8
A-canonical-opt,igt,17
A-canonical-opt,ilt,29
A-canonical-opt,ieq,73
A-canonical-opt,ftod,4
A-canonical-opt,itod,0
A-canonical-opt,stod,4
A-canonical-opt,dtos,3
A-canonical-opt,ftoi,1
A-canonical-opt,itof,2
A-canonical-opt,stof,3
A-canonical-opt,stoi,1
A-canonical-opt,ftos,5
A-canonical-opt,itos,25
A-opaque-noopt,dadd,1
A-opaque-noopt,dsub,0
A-opaque-noopt,dmult,2
A-opaque-noopt,ddiv,0
A-opaque-noopt,dgt,1
A-opaque-noopt,dlt,0
A-opaque-noopt,deq,0
A-opaque-noopt,fadd,5
A-opaque-noopt,fsub,1
A-opaque-noopt,fmult,1
A-opaque-noopt,fdiv,5
A-opaque-noopt,fgt,2
A-opaque-noopt,flt,1
A-opaque-noopt,feq,2
A-opaque-noopt,iadd,0
A-opaque-noopt,isub,2
A-opaque-noopt,imult,1
A-opaque-noopt,idiv,0
A-opaque-noopt,igt,5
A-opaque-noopt,ilt,3
A-opaque-noopt,ieq,9
A-opaque-noopt,ftod,6
A-opaque-noopt,itod,1
A-opaque-noopt,stod,4
A-opaque-noopt,dtos,3
A-opaque-noopt,ftoi,1
A-opaque-noopt,itof,12
A-opaque-noopt,stof,3
A-opaque-noopt,stoi,2
A-opaque-noopt,ftos,6
A-opaque-noopt,itos,41
A-opaque-opt,dadd,1
A-opaque-opt,dsub,0
A-opaque-opt,dmult,2
A-opaque-opt,ddiv,0
A-opaque-opt,dgt,1
A-opaque-opt,dlt,0
A-opaque-opt,deq,0
A-opaque-opt,fadd,4
A-opaque-opt,fsub,1
A-opaque-opt,fmult,1
A-opaque-opt,fdiv,5
A-opaque-opt,fgt,2
A-opaque-opt,flt,1
A-opaque-opt,feq,2
A-opaque-opt,iadd,2
A-opaque-opt,isub,20
A-opaque-opt,imult,1
A-opaque-opt,idiv,8
A-opaque-opt,igt,17
A-opaque-opt,ilt,29
A-opaque-opt,ieq,73
A-opaque-opt,ftod,4
A-opaque-opt,itod,0
A-opaque-opt,stod,4
A-opaque-opt,dtos,3
A-opaque-opt,ftoi,1
A-opaque-opt,itof,4
A-opaque-opt,stof,3
A-opaque-opt,stoi,2
A-opaque-opt,ftos,5
A-opaque-opt,itos,27
B-canonical-noopt,dadd,3
B-canonical-noopt,dsub,0
B-canonical-noopt,dmult,2
B-canonical-noopt,ddiv,0
B-canonical-noopt,dgt,2
B-canonical-noopt,dlt,3
B-canonical-noopt,deq,1
B-canonical-noopt,fadd,2
B-canonical-noopt,fsub,1
B-canonical-noopt,fmult,0
B-canonical-noopt,fdiv,5
B-canonical-noopt,fgt,1
B-canonical-noopt,flt,0
B-canonical-noopt,feq,1
B-canonical-noopt,iadd,1
B-canonical-noopt,isub,2
B-canonical-noopt,imult,2
B-canonical-noopt,idiv,0
B-canonical-noopt,igt,5
B-canonical-noopt,ilt,3
B-canonical-noopt,ieq,9
B-canonical-noopt,ftod,3
B-canonical-noopt,itod,0
B-canonical-noopt,stod,10
B-canonical-noopt,dtos,6
B-canonical-noopt,ftoi,0
B-canonical-noopt,itof,3
B-canonical-noopt,stof,2
B-canonical-noopt,stoi,2
B-canonical-noopt,ftos,3
B-canonical-noopt,itos,43
B-canonical-opt,dadd,2
B-canonical-opt,dsub,0
B-canonical-opt,dmult,2
B-canonical-opt,ddiv,0
B-canonical-opt,dgt,2
B-canonical-opt,dlt,1
B-canonical-opt,deq,1
B-canonical-opt,fadd,2
B-canonical-opt,fsub,1
B-canonical-opt,fmult,0
B-canonical-opt,fdiv,5
B-canonical-opt,fgt,1
B-canonical-opt,flt,0
B-canonical-opt,feq,1
B-canonical-opt,iadd,2
B-canonical-opt,isub,18
B-canonical-opt,imult,2
B-canonical-opt,idiv,8
B-canonical-opt,igt,17
B-canonical-opt,ilt,23
B-canonical-opt,ieq,69
B-canonical-opt,ftod,3
B-canonical-opt,itod,0
B-canonical-opt,stod,4
B-canonical-opt,dtos,5
B-canonical-opt,ftoi,0
B-canonical-opt,itof,1
B-canonical-opt,stof,2
B-canonical-opt,stoi,2
B-canonical-opt,ftos,3
B-canonical-opt,itos,25
B-opaque-noopt,dadd,3
B-opaque-noopt,dsub,0
B-opaque-noopt,dmult,2
B-opaque-noopt,ddiv,0
B-opaque-noopt,dgt,2
B-opaque-noopt,dlt,3
B-opaque-noopt,deq,1
B-opaque-noopt,fadd,2
B-opaque-noopt,fsub,1
B-opaque-noopt,fmult,0
B-opaque-noopt,fdiv,5
B-opaque-noopt,fgt,1
B-opaque-noopt,flt,0
B-opaque-noopt,feq,1
B-opaque-noopt,iadd,1
B-opaque-noopt,isub,2
B-opaque-noopt,imult,2
B-opaque-noopt,idiv,0
B-opaque-noopt,igt,5
B-opaque-noopt,ilt,3
B-opaque-noopt,ieq,9
B-opaque-noopt,ftod,3
B-opaque-noopt,itod,0
B-opaque-noopt,stod,10
B-opaque-noopt,dtos,6
B-opaque-noopt,ftoi,0
B-opaque-noopt,itof,3
B-opaque-noopt,stof,2
B-opaque-noopt,stoi,3
B-opaque-noopt,ftos,3
B-opaque-noopt,itos,41
B-opaque-opt,dadd,2
B-opaque-opt,dsub,0
B-opaque-opt,dmult,2
B-opaque-opt,ddiv,0
B-opaque-opt,dgt,2
B-opaque-opt,dlt,1
B-opaque-opt,deq,1
B-opaque-opt,fadd,2
B-opaque-opt,fsub,1
B-opaque-opt,fmult,0
B-opaque-opt,fdiv,5
B-opaque-opt,fgt,1
B-opaque-opt,flt,0
B-opaque-opt,feq,1
B-opaque-opt,iadd,2
B-opaque-opt,isub,18
B-opaque-opt,imult,2
B-opaque-opt,idiv,8
B-opaque-opt,igt,17
B-opaque-opt,ilt,23
B-opaque-opt,ieq,69
B-opaque-opt,ftod,3
B-opaque-opt,itod,0
B-opaque-opt,stod,4
B-opaque-opt,dtos,5
B-opaque-opt,ftoi,0
B-opaque-opt,itof,3
B-opaque-opt,stof,2
B-opaque-opt,stoi,3
B-opaque-opt,ftos,3
B-opaque-opt,itos,27
C-canonical-noopt,dadd,3
C-canonical-noopt,dsub,0
C-canonical-noopt,dmult,2
C-canonical-noopt,ddiv,0
C-canonical-noopt,dgt,2
C-canonical-noopt,dlt,3
C-canonical-noopt,deq,1
C-canonical-noopt,fadd,2
C-canonical-noopt,fsub,1
C-canonical-noopt,fmult,0
C-canonical-noopt,fdiv,5
C-canonical-noopt,fgt,1
C-canonical-noopt,flt,0
C-canonical-noopt,feq,1
C-canonical-noopt,iadd,1
C-canonical-noopt,isub,2
C-canonical-noopt,imult,2
C-canonical-noopt,idiv,0
C-canonical-noopt,igt,5
C-canonical-noopt,ilt,3
C-canonical-noopt,ieq,9
C-canonical-noopt,ftod,0
C-canonical-noopt,itod,0
C-canonical-noopt,stod,10
C-canonical-noopt,dtos,6
C-canonical-noopt,ftoi,0
C-canonical-noopt,itof,3
C-canonical-noopt,stof,2
C-canonical-noopt,stoi,2
C-canonical-noopt,ftos,3
C-canonical-noopt,itos,43
C-canonical-opt,dadd,2
C-canonical-opt,dsub,0
C-canonical-opt,dmult,2
C-canonical-opt,ddiv,0
C-canonical-opt,dgt,2
C-canonical-opt,dlt,1
C-canonical-opt,deq,1
C-canonical-opt,fadd,2
C-canonical-opt,fsub,1
C-canonical-opt,fmult,0
C-canonical-opt,fdiv,5
C-canonical-opt,fgt,1
C-canonical-opt,flt,0
C-canonical-opt,feq,1
C-canonical-opt,iadd,2
C-canonical-opt,isub,18
C-canonical-opt,imult,2
C-canonical-opt,idiv,8
C-canonical-opt,igt,17
C-canonical-opt,ilt,23
C-canonical-opt,ieq,69
C-canonical-opt,ftod,0
C-canonical-opt,itod,0
C-canonical-opt,stod,4
C-canonical-opt,dtos,5
C-canonical-opt,ftoi,0
C-canonical-opt,itof,1
C-canonical-opt,stof,2
C-canonical-opt,stoi,2
C-canonical-opt,ftos,3
C-canonical-opt,itos,25
C-opaque-noopt,dadd,3
C-opaque-noopt,dsub,0
C-opaque-noopt,dmult,2
C-opaque-noopt,ddiv,0
C-opaque-noopt,dgt,2
C-opaque-noopt,dlt,3
C-opaque-noopt,deq,1
C-opaque-noopt,fadd,2
C-opaque-noopt,fsub,1
C-opaque-noopt,fmult,0
C-opaque-noopt,fdiv,5
C-opaque-noopt,fgt,1
C-opaque-noopt,flt,0
C-opaque-noopt,feq,1
C-opaque-noopt,iadd,1
C-opaque-noopt,isub,2
C-opaque-noopt,imult,2
C-opaque-noopt,idiv,0
C-opaque-noopt,igt,5
C-opaque-noopt,ilt,3
C-opaque-noopt,ieq,9
C-opaque-noopt,ftod,0
C-opaque-noopt,itod,0
C-opaque-noopt,stod,10
C-opaque-noopt,dtos,6
C-opaque-noopt,ftoi,0
C-opaque-noopt,itof,3
C-opaque-noopt,stof,2
C-opaque-noopt,stoi,3
C-opaque-noopt,ftos,3
C-opaque-noopt,itos,41
C-opaque-opt,dadd,2
C-opaque-opt,dsub,0
C-opaque-opt,dmult,2
C-opaque-opt,ddiv,0
C-opaque-opt,dgt,2
C-opaque-opt,dlt,1
C-opaque-opt,deq,1
C-opaque-opt,fadd,2
C-opaque-opt,fsub,1
C-opaque-opt,fmult,0
C-opaque-opt,fdiv,5
C-opaque-opt,fgt,1
C-opaque-opt,flt,0
C-opaque-opt,feq,1
C-opaque-opt,iadd,2
C-opaque-opt,isub,18
C-opaque-opt,imult,2
C-opaque-opt,idiv,8
C-opaque-opt,igt,17
C-opaque-opt,ilt,23
C-opaque-opt,ieq,69
C-opaque-opt,ftod,0
C-opaque-opt,itod,0
C-opaque-opt,stod,4
C-opaque-opt,dtos,5
C-opaque-opt,ftoi,0
C-opaque-opt,itof,3
C-opaque-opt,stof,2
C-opaque-opt,stoi,3
C-opaque-opt,ftos,3
C-opaque-opt,itos,27
