sequence,vm,round,position,candidate,image_sha256,native_cps,process_real_s,effective_count,pass,stdout,stderr
1,rxvm,1,1,A,3af6ad415dfbba2f45e1ede1e9963defc19b18a95a10a2279e1e22a3478e19a1,1146742,8.74,100,1,raw/01-rxvm-r1-p1-A.stdout.txt,raw/01-rxvm-r1-p1-A.stderr.txt
2,rxvm,1,2,B,1afdde6051c12f5bb6187d5036d0de9c22d62bd5ca2e49de074db324d6afcfb0,1175228,8.52,100,1,raw/02-rxvm-r1-p2-B.stdout.txt,raw/02-rxvm-r1-p2-B.stderr.txt
3,rxvm,1,3,C,ed63e083ae1c36b52dd62c8f184a48641ff9145dffb5c29de9e009452541da57,1142846,8.76,100,1,raw/03-rxvm-r1-p3-C.stdout.txt,raw/03-rxvm-r1-p3-C.stderr.txt
4,rxvm,2,1,B,1afdde6051c12f5bb6187d5036d0de9c22d62bd5ca2e49de074db324d6afcfb0,1159168,8.64,100,1,raw/04-rxvm-r2-p1-B.stdout.txt,raw/04-rxvm-r2-p1-B.stderr.txt
5,rxvm,2,2,C,ed63e083ae1c36b52dd62c8f184a48641ff9145dffb5c29de9e009452541da57,1129725,8.87,100,1,raw/05-rxvm-r2-p2-C.stdout.txt,raw/05-rxvm-r2-p2-C.stderr.txt
6,rxvm,2,3,A,3af6ad415dfbba2f45e1ede1e9963defc19b18a95a10a2279e1e22a3478e19a1,1128107,8.88,100,1,raw/06-rxvm-r2-p3-A.stdout.txt,raw/06-rxvm-r2-p3-A.stderr.txt
7,rxvm,3,1,C,ed63e083ae1c36b52dd62c8f184a48641ff9145dffb5c29de9e009452541da57,1180035,8.49,100,1,raw/07-rxvm-r3-p1-C.stdout.txt,raw/07-rxvm-r3-p1-C.stderr.txt
8,rxvm,3,2,A,3af6ad415dfbba2f45e1ede1e9963defc19b18a95a10a2279e1e22a3478e19a1,1122694,8.92,100,1,raw/08-rxvm-r3-p2-A.stdout.txt,raw/08-rxvm-r3-p2-A.stderr.txt
9,rxvm,3,3,B,1afdde6051c12f5bb6187d5036d0de9c22d62bd5ca2e49de074db324d6afcfb0,1140532,8.78,100,1,raw/09-rxvm-r3-p3-B.stdout.txt,raw/09-rxvm-r3-p3-B.stderr.txt
10,rxbvm,1,1,C,ed63e083ae1c36b52dd62c8f184a48641ff9145dffb5c29de9e009452541da57,1108249,9.04,100,1,raw/10-rxbvm-r1-p1-C.stdout.txt,raw/10-rxbvm-r1-p1-C.stderr.txt
11,rxbvm,1,2,B,1afdde6051c12f5bb6187d5036d0de9c22d62bd5ca2e49de074db324d6afcfb0,1118543,8.95,100,1,raw/11-rxbvm-r1-p2-B.stdout.txt,raw/11-rxbvm-r1-p2-B.stderr.txt
12,rxbvm,1,3,A,3af6ad415dfbba2f45e1ede1e9963defc19b18a95a10a2279e1e22a3478e19a1,1113945,8.99,100,1,raw/12-rxbvm-r1-p3-A.stdout.txt,raw/12-rxbvm-r1-p3-A.stderr.txt
13,rxbvm,2,1,B,1afdde6051c12f5bb6187d5036d0de9c22d62bd5ca2e49de074db324d6afcfb0,1098914,9.12,100,1,raw/13-rxbvm-r2-p1-B.stdout.txt,raw/13-rxbvm-r2-p1-B.stderr.txt
14,rxbvm,2,2,A,3af6ad415dfbba2f45e1ede1e9963defc19b18a95a10a2279e1e22a3478e19a1,1097808,9.12,100,1,raw/14-rxbvm-r2-p2-A.stdout.txt,raw/14-rxbvm-r2-p2-A.stderr.txt
15,rxbvm,2,3,C,ed63e083ae1c36b52dd62c8f184a48641ff9145dffb5c29de9e009452541da57,1083713,9.24,100,1,raw/15-rxbvm-r2-p3-C.stdout.txt,raw/15-rxbvm-r2-p3-C.stderr.txt
16,rxbvm,3,1,A,3af6ad415dfbba2f45e1ede1e9963defc19b18a95a10a2279e1e22a3478e19a1,1075992,9.31,100,1,raw/16-rxbvm-r3-p1-A.stdout.txt,raw/16-rxbvm-r3-p1-A.stderr.txt
17,rxbvm,3,2,C,ed63e083ae1c36b52dd62c8f184a48641ff9145dffb5c29de9e009452541da57,1130936,8.86,100,1,raw/17-rxbvm-r3-p2-C.stdout.txt,raw/17-rxbvm-r3-p2-C.stderr.txt
18,rxbvm,3,3,B,1afdde6051c12f5bb6187d5036d0de9c22d62bd5ca2e49de074db324d6afcfb0,1099796,9.11,100,1,raw/18-rxbvm-r3-p3-B.stdout.txt,raw/18-rxbvm-r3-p3-B.stderr.txt
