section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,757,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,6806302,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,374361,545669414,1457,0,2150375,61.304792,,,,,,,,,,,,,,
instruction,RET_REG,,49,245780,209208382,851,0,10272125,23.504115,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,191150,21249857,111,41,22792,2.387376,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,95560,12923023,135,41,29041,1.451874,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,13651,12641817,926,0,542875,1.420281,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,510890,6453920,12,0,9959,0.725084,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,469930,5914447,12,0,10667,0.664475,,,,,,,,,,,,,,
instruction,INSATTRS1_REG_REG_REG,,551,95560,5545183,58,0,7958,0.622989,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,341341,5043337,14,0,12625,0.566608,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,54630,4565781,83,0,7166,0.512956,,,,,,,,,,,,,,
instruction,BCF_ID_REG,,350,374360,4538611,12,0,5500,0.509903,,,,,,,,,,,,,,
instruction,BR_ID,,36,374361,4459288,11,0,16750,0.500991,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,327723,4315678,13,0,16042,0.484857,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,327640,4007630,12,0,18166,0.450249,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,278800,3503526,12,0,7000,0.393614,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,191150,3239619,16,0,18583,0.363964,,,,,,,,,,,,,,
instruction,SWAPN_REG_REG_REG_REG,,264,191130,3151117,16,0,23958,0.354021,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,245742,3088382,12,0,22791,0.346973,,,,,,,,,,,,,,
instruction,ISETATTR1_REG_INT_REG,,406,245770,3023273,12,0,5708,0.339658,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,232110,2878000,12,0,2833,0.323337,,,,,,,,,,,,,,
instruction,RET,,48,95560,2732354,28,0,19500,0.306974,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,177500,2388215,13,0,12750,0.268311,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,191121,2368543,12,0,4625,0.266101,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC_REG,,46,54630,2273331,41,0,15541,0.255404,,,,,,,,,,,,,,
instruction,LOADSETTPSWAP_REG_INT_REG_INT_REG,,269,150170,2121028,14,0,13791,0.238293,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,150170,2050874,13,0,5250,0.230411,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,95561,1348126,14,0,7084,0.151459,,,,,,,,,,,,,,
instruction,SETTP_REG_INT,,517,95560,1243831,13,0,10375,0.139742,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,95561,1187370,12,0,12834,0.133398,,,,,,,,,,,,,,
