section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,752,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,9929472,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,573181,212228537,370,0,47709,42.916824,,,,,,,,,,,,,,
instruction,RET_REG,,49,409930,74441054,181,0,34500,15.053459,,,,,,,,,,,,,,
instruction,SWAPCALL_REG_FUNC_REG_REG_REG,,280,327910,42127608,128,41,14750,8.519039,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,409670,38446956,93,0,32083,7.774738,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,737460,12124215,16,0,19875,2.451757,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,955852,11613142,12,0,20250,2.348408,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,901300,11288715,12,0,16583,2.282802,,,,,,,,,,,,,,
instruction,RET,,48,327680,10469482,31,0,7500,2.117137,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,737611,9579945,12,0,11375,1.937255,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,627810,8196012,13,0,13708,1.657396,,,,,,,,,,,,,,
instruction,NULL_REG,,14,163960,7435994,45,0,23625,1.503706,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,573963,7365418,12,0,17333,1.489434,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,491840,7174011,14,0,8625,1.450727,,,,,,,,,,,,,,
instruction,LOADSETTPSWAP_REG_INT_REG_INT_REG,,269,409590,5739898,14,0,29083,1.160721,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,464070,5688373,12,0,16708,1.150302,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,81921,5443288,66,0,10208,1.100741,,,,,,,,,,,,,,
instruction,SWAPN_REG_REG_REG_REG_REG_REG,,265,245860,5062898,20,0,9042,1.023819,,,,,,,,,,,,,,
instruction,ISETATTR1_REG_INT_REG,,406,245870,3074206,12,0,23084,0.621665,,,,,,,,,,,,,,
instruction,BR_ID,,36,232371,2876577,12,0,7500,0.581701,,,,,,,,,,,,,,
instruction,SWAPN_REG_REG_REG_REG,,264,163710,2444403,14,0,9708,0.494307,,,,,,,,,,,,,,
instruction,SETOBJUNINIT_REG_STRING,,84,163960,2242286,13,0,18625,0.453435,,,,,,,,,,,,,,
instruction,UNLINKBR_REG_ID,,288,109220,1475173,13,0,2167,0.298309,,,,,,,,,,,,,,
instruction,ASSERTTYPE_REG_STRING,,61,81910,1418665,17,0,4167,0.286882,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,81910,1105300,13,0,13584,0.223514,,,,,,,,,,,,,,
instruction,SETTPSWAP_REG_INT_REG,,267,82050,1098196,13,0,5375,0.222077,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_REG,,107,82020,1067522,13,0,7875,0.215874,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,81900,1063536,12,0,10458,0.215068,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,82050,1034190,12,0,750,0.209134,,,,,,,,,,,,,,
instruction,ISUB_REG_INT_REG,,19,40960,517358,12,0,958,0.104620,,,,,,,,,,,,,,
