vm	opcode	n	loop_count	expanded_mean_us	fused_mean_us	speedup_percent	delta_per_call_mean_ns	delta_per_call_ci95_low_ns	delta_per_call_ci95_high_ns	faster_fraction	classification	portfolio_executions	estimated_portfolio_saved_ms	evidence
rxbvm	FDIVSUB_REG_REG_REG_FLOAT	192	500000	2180.844	1760.531	+23.874186	-0.812125	-0.835913	-0.788337	+0.989583	measurable-saving	501000	+0.406875	new-16-offset-cell
rxvm	FDIVSUB_REG_REG_REG_FLOAT	192	500000	2176.188	1619.438	+34.379221	-1.107312	-1.211594	-1.003031	+0.989583	measurable-saving	501000	+0.554764	new-16-offset-cell
rxbvm	IGETUNLINK_REG_REG	192	500000	1732.781	1582.031	+9.528889	-0.306812	-0.325443	-0.288182	+0.984375	measurable-saving	3282800	+1.007204	new-16-offset-cell
rxvm	IGETUNLINK_REG_REG	192	500000	1559.312	1443.375	+8.032389	-0.223812	-0.245354	-0.202271	+0.947917	measurable-saving	3282800	+0.734732	new-16-offset-cell
rxbvm	ILOADSETUNLINKN_REG_REG_INT_REG	192	500000	2863.875	2423.219	+18.184749	-0.864500	-0.885800	-0.843200	+0.994792	measurable-saving	364203	+0.314853	new-16-offset-cell
rxvm	ILOADSETUNLINKN_REG_REG_INT_REG	192	500000	2822.312	2524.594	+11.792739	-0.565750	-1.758652	+0.627152	+0.947917	noise-or-layout-sensitive	364203	+0.206048	new-16-offset-cell
rxbvm	ISETATTR1_REG_INT_REG	192	500000	1876.594	1345.156	+39.507492	-1.075375	-1.117894	-1.032856	+0.994792	measurable-saving	5105092	+5.489888	new-16-offset-cell
rxvm	ISETATTR1_REG_INT_REG	192	500000	1715.750	1215.156	+41.195834	-0.992125	-1.047311	-0.936939	+0.979167	measurable-saving	5105092	+5.064889	new-16-offset-cell
rxbvm	ISETUNLINKN_REG_REG_REG	192	500000	2643.531	2271.500	+16.378219	-0.747437	-0.777952	-0.716923	+0.973958	measurable-saving	1153691	+0.862312	new-16-offset-cell
rxvm	ISETUNLINKN_REG_REG_REG	192	500000	2587.125	2120.250	+22.019809	-0.939125	-1.065540	-0.812710	+0.989583	measurable-saving	1153691	+1.083460	new-16-offset-cell
rxbvm	ISETUNLINK_REG_REG	192	500000	1726.719	1607.375	+7.424761	-0.237250	-0.248254	-0.226246	+0.958333	measurable-saving	1646500	+0.390632	new-16-offset-cell
rxvm	ISETUNLINK_REG_REG	192	500000	1570.312	1442.656	+8.848695	-0.250688	-0.264774	-0.236601	+0.942708	measurable-saving	1646500	+0.412757	new-16-offset-cell
rxbvm	ITOF_REG_REG	192	1000000	2674.812	2427.156	+10.203556	-0.252250	-0.268300	-0.236200	+0.979167	measurable-saving	1002004	+0.252756	new-16-offset-cell
rxvm	ITOF_REG_REG	192	1000000	2398.969	2579.406	-6.995311	+0.184031	+0.169450	+0.198613	+0.020833	measurable-slowdown	1002004	-0.184400	new-16-offset-cell
rxbvm	ITOSCONCAT_REG_STRING_REG	192	100000	2978.875	2942.500	+1.236194	-0.513437	-0.744364	-0.282511	+0.687500	measurable-saving	15420	+0.007917	new-16-offset-cell
rxvm	ITOSCONCAT_REG_STRING_REG	192	100000	2998.188	2973.781	+0.820714	-0.237500	-0.429157	-0.045843	+0.593750	measurable-saving	15420	+0.003662	new-16-offset-cell
rxbvm	LOADSETTP2_REG_INT_REG_INT	192	2000000	5446.031	4773.094	+14.098560	-0.295234	-0.334813	-0.255656	+0.963542	measurable-saving	401978	+0.118678	new-16-offset-cell
rxvm	LOADSETTP2_REG_INT_REG_INT	192	2000000	5448.375	4715.219	+15.548722	-0.353625	-0.417378	-0.289872	+0.927083	measurable-saving	401978	+0.142149	new-16-offset-cell
rxbvm	LOADSETTPSWAP_REG_INT_REG_INT_REG	192	2000000	6934.844	5750.594	+20.593526	-0.580641	-0.604489	-0.556792	+0.973958	measurable-saving	7147354	+4.150044	new-16-offset-cell
rxvm	LOADSETTPSWAP_REG_INT_REG_INT_REG	192	2000000	6487.344	5361.375	+21.001492	-0.537453	-0.611741	-0.463165	+0.989583	measurable-saving	7147354	+3.841368	new-16-offset-cell
rxbvm	MINLINKATTR1_REG_REG_INT	192	500000	1420.812	1331.594	+6.700148	-0.174375	-0.198898	-0.149852	+0.901042	measurable-saving	56004	+0.009766	new-16-offset-cell
rxvm	MINLINKATTR1_REG_REG_INT	192	500000	1319.438	1192.219	+10.670756	-0.253688	-0.291824	-0.215551	+0.968750	measurable-saving	56004	+0.014208	new-16-offset-cell
rxbvm	MINLINKATTR1_REG_REG_REG_INT	192	500000	1648.562	1431.750	+15.143181	-0.419813	-0.450800	-0.388825	+0.963542	measurable-saving	2519098	+1.057549	new-16-offset-cell
rxvm	MINLINKATTR1_REG_REG_REG_INT	192	500000	1530.938	1322.438	+15.766341	-0.405813	-0.434332	-0.377293	+0.947917	measurable-saving	2519098	+1.022281	new-16-offset-cell
rxbvm	MINSTOIATTR1_REG_REG_INT	192	100000	2600.094	2433.062	+6.865062	-1.685000	-1.931195	-1.438805	+0.890625	measurable-saving	22	+0.000037	new-16-offset-cell
rxvm	MINSTOIATTR1_REG_REG_INT	192	100000	2582.500	2357.344	+9.551269	-2.105625	-2.361849	-1.849401	+0.947917	measurable-saving	22	+0.000046	new-16-offset-cell
rxbvm	NULLN_REG_REG	192	2000000	6959.500	6059.750	+14.847972	-0.408797	-0.467676	-0.349918	+0.942708	measurable-saving	1363016	+0.557197	new-16-offset-cell
rxvm	NULLN_REG_REG	192	2000000	8211.156	7069.969	+16.141337	-0.570172	-0.581832	-0.558512	+0.989583	measurable-saving	1363016	+0.777153	new-16-offset-cell
rxbvm	NULLN_REG_REG_REG	192	2000000	9915.719	8792.406	+12.775939	-0.524281	-0.687978	-0.360585	+0.932292	measurable-saving	1572900	+0.824642	new-16-offset-cell
