vm,opcode,baseline_count,candidate_count,delta
rxbvm,APPENDCHAR_REG_REG,9,8,-1
rxbvm,APPEND_REG_REG,1408,1408,+0
rxbvm,ASSERTINITIALIZED_REG,23630,23630,+0
rxbvm,ASSERTTYPE_REG_STRING,2807,2807,+0
rxbvm,BCF_ID_REG,3200,3200,+0
rxbvm,BCOPY_REG_REG,8400,8400,+0
rxbvm,BCTP_ID_REG,194130,194130,+0
rxbvm,BEQ_ID_REG_INT,3615,3599,-16
rxbvm,BGE_ID_REG_INT,19045,19045,+0
rxbvm,BGE_ID_REG_REG,4400,4400,+0
rxbvm,BGT_ID_REG_REG,16800,16800,+0
rxbvm,BLE_ID_REG_INT,7202,7201,-1
rxbvm,BLE_ID_REG_REG,7000,7000,+0
rxbvm,BNE_ID_REG_INT,41881,41881,+0
rxbvm,BNE_ID_REG_REG,433,433,+0
rxbvm,BPOFF,3300,3300,+0
rxbvm,BRF_ID_REG,2954752,2954764,+12
rxbvm,BRTF_ID_ID_REG,36254,36254,+0
rxbvm,BRTPANDT_ID_REG_INT,81842,81842,+0
rxbvm,BRT_ID_REG,744352,744352,+0
rxbvm,BR_ID,802262,784060,-18202
rxbvm,BTOI_REG,3002,3002,+0
rxbvm,CALL_REG_FUNC_REG,106880,39010,-67870
rxbvm,CONCAT_REG_REG_REG,1402,1402,+0
rxbvm,CONCAT_REG_REG_STRING,8402,8402,+0
rxbvm,CONCAT_REG_STRING_REG,14002,1402,-12600
rxbvm,COPY_REG_REG,109152,109152,+0
rxbvm,DADD_REG_REG_DECIMAL,2800,2800,+0
rxbvm,DADD_REG_REG_REG,2800,2800,+0
rxbvm,DCALL_REG_REG_REG,2821,2821,+0
rxbvm,DCOPY_REG_REG,11100,11100,+0
rxbvm,DEQ_REG_REG_DECIMAL,2800,2800,+0
rxbvm,DGT_REG_REG_REG,7000,7000,+0
rxbvm,DLT_REG_REG_DECIMAL,2800,2800,+0
rxbvm,DMULT_REG_REG_DECIMAL,2700,2700,+0
rxbvm,DTOS_REG,11100,11100,+0
rxbvm,ENDLIFE_REG,5616,5616,+0
rxbvm,FADD_REG_REG_REG,200,200,+0
rxbvm,FCOPY_REG_REG,403,403,+0
rxbvm,FDIV_REG_FLOAT_REG,1,1,+0
rxbvm,FDIV_REG_REG_FLOAT,402,402,+0
rxbvm,FDIV_REG_REG_REG,1,1,+0
rxbvm,FGT_REG_REG_FLOAT,1,1,+0
rxbvm,FNDBLNK_REG_REG_REG,2801,2801,+0
rxbvm,FNDNBLNK_REG_REG_REG,31285,31285,+0
rxbvm,FSUB_REG_REG_REG,1,1,+0
rxbvm,FTOS_REG,402,402,+0
rxbvm,GETANDTP_REG_REG_INT,23950,23950,+0
rxbvm,GETATTRS_REG_REG_INT,37816,37816,+0
rxbvm,IADD_REG_REG_INT,575485,575484,-1
rxbvm,IADD_REG_REG_REG,335208,335208,+0
rxbvm,ICOPY_REG_REG,1125713,1056312,-69401
rxbvm,IEQ_REG_REG_INT,916959,916959,+0
rxbvm,IEQ_REG_REG_REG,232649,232649,+0
rxbvm,IGETUNLINK_REG_REG,0,40331,+40331
rxbvm,IGTE_REG_REG_INT,92407,92406,-1
rxbvm,IGTE_REG_REG_REG,184800,184800,+0
rxbvm,IGT_REG_REG_INT,249427,249426,-1
rxbvm,IGT_REG_REG_REG,513667,513667,+0
rxbvm,ILOADSETUNLINKN_REG_REG_INT_REG,0,15,+15
rxbvm,ILTE_REG_REG_INT,142800,142800,+0
rxbvm,ILTE_REG_REG_REG,98000,98000,+0
rxbvm,ILT_REG_REG_INT,321888,321887,-1
rxbvm,ILT_REG_REG_REG,269439,269439,+0
rxbvm,IMOD_REG_REG_REG,129400,129400,+0
rxbvm,IMULT_REG_REG_INT,272200,272200,+0
rxbvm,INE_REG_REG_INT,178372,178387,+15
rxbvm,ISETATTR1_REG_INT_REG,0,19253,+19253
rxbvm,ISETUNLINK_REG_REG,0,9800,+9800
rxbvm,ISTYPE_REG_REG_STRING,7,7,+0
rxbvm,ISUB_REG_INT_REG,18646,18646,+0
rxbvm,ISUB_REG_REG_INT,305208,305206,-2
rxbvm,ISUB_REG_REG_REG,107024,107023,-1
rxbvm,ITOF_REG,401,400,-1
rxbvm,ITOF_REG_REG,0,1,+1
rxbvm,ITOSCONCAT_REG_STRING_REG,0,12600,+12600
rxbvm,ITOS_REG,12606,1,-12605
rxbvm,LINKATTR1_REG_REG_INT,306613,259342,-47271
rxbvm,LINKATTR1_REG_REG_REG,214780,0,-214780
rxbvm,LOADSETTP2_REG_INT_REG_INT,0,5610,+5610
rxbvm,LOADSETTPSWAP_REG_INT_REG_INT_REG,0,56274,+56274
rxbvm,LOAD_REG_DECIMAL,4200,4200,+0
rxbvm,LOAD_REG_FLOAT,406,406,+0
rxbvm,LOAD_REG_INT,669932,608031,-61901
rxbvm,LOAD_REG_STRING,300887,300886,-1
rxbvm,MINATTRS_REG_INT,28003,0,-28003
rxbvm,MINATTRS_REG_REG_INT,195365,0,-195365
