sequence,vm_mode,phase,round,position,cell,vm_binary,image,library,native_cps,process_real_s,effective_count,pass,started_utc,ended_utc,stdout,stderr
1,rxvm,warmup,0,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1204113,8.32,100,1,2026-07-19T20:27:16Z,2026-07-19T20:27:24Z,raw/001-rxvm-warmup-r00-p1-cellA.stdout.txt,raw/001-rxvm-warmup-r00-p1-cellA.stderr.txt
2,rxvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1211566,8.54,100,1,2026-07-19T20:27:24Z,2026-07-19T20:27:33Z,raw/002-rxvm-warmup-r00-p2-cellB.stdout.txt,raw/002-rxvm-warmup-r00-p2-cellB.stderr.txt
3,rxvm,warmup,0,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1197160,8.37,100,1,2026-07-19T20:27:33Z,2026-07-19T20:27:41Z,raw/003-rxvm-warmup-r00-p3-cellC.stdout.txt,raw/003-rxvm-warmup-r00-p3-cellC.stderr.txt
4,rxbvm,warmup,0,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1205695,8.59,100,1,2026-07-19T20:27:41Z,2026-07-19T20:27:50Z,raw/004-rxbvm-warmup-r00-p1-cellC.stdout.txt,raw/004-rxbvm-warmup-r00-p1-cellC.stderr.txt
5,rxbvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1170884,8.55,100,1,2026-07-19T20:27:50Z,2026-07-19T20:27:59Z,raw/005-rxbvm-warmup-r00-p2-cellB.stdout.txt,raw/005-rxbvm-warmup-r00-p2-cellB.stderr.txt
6,rxbvm,warmup,0,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1167715,8.58,100,1,2026-07-19T20:27:59Z,2026-07-19T20:28:07Z,raw/006-rxbvm-warmup-r00-p3-cellA.stdout.txt,raw/006-rxbvm-warmup-r00-p3-cellA.stderr.txt
7,rxvm,recorded,1,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1179707,8.49,100,1,2026-07-19T20:28:07Z,2026-07-19T20:28:16Z,raw/007-rxvm-recorded-r01-p1-cellA.stdout.txt,raw/007-rxvm-recorded-r01-p1-cellA.stderr.txt
8,rxvm,recorded,1,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1168354,8.57,100,1,2026-07-19T20:28:16Z,2026-07-19T20:28:24Z,raw/008-rxvm-recorded-r01-p2-cellB.stdout.txt,raw/008-rxvm-recorded-r01-p2-cellB.stderr.txt
9,rxvm,recorded,1,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1195713,8.38,100,1,2026-07-19T20:28:24Z,2026-07-19T20:28:33Z,raw/009-rxvm-recorded-r01-p3-cellC.stdout.txt,raw/009-rxvm-recorded-r01-p3-cellC.stderr.txt
10,rxbvm,recorded,1,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1149793,8.71,100,1,2026-07-19T20:28:33Z,2026-07-19T20:28:41Z,raw/010-rxbvm-recorded-r01-p1-cellA.stdout.txt,raw/010-rxbvm-recorded-r01-p1-cellA.stderr.txt
