vm,macro_opcode,component_position,component_opcode,macro_count,baseline_global_count,baseline_global_total_ns,baseline_average_ns,estimated_total_at_macro_count_ns,timer_read_min_ns,average_below_timer_min
rxvm,NUMCTX_INT_INT_INT_INT_INT,1,SETNUMDGTS_INT,0,0,0,0.000000,0.000,41,0
rxvm,NUMCTX_INT_INT_INT_INT_INT,2,SETNUMFUZ_INT,0,4,292,73.000000,0.000,41,0
rxvm,NUMCTX_INT_INT_INT_INT_INT,3,SETNUMFRM_INT,0,0,0,0.000000,0.000,41,0
rxvm,NUMCTX_INT_INT_INT_INT_INT,4,SETNUMCAS_INT,0,2,124,62.000000,0.000,41,0
rxvm,NUMCTX_INT_INT_INT_INT_INT,5,SETNUMSTD_INT,0,4,584,146.000000,0.000,41,0
rxvm,SWAPN_REG_REG_REG_REG,1,SWAP_REG_REG,11200,163212,4019980,24.630419,275860.697,41,1
rxvm,SWAPN_REG_REG_REG_REG,2,SWAP_REG_REG,11200,163212,4019980,24.630419,275860.697,41,1
rxvm,SWAPN_REG_REG_REG_REG_REG_REG,1,SWAP_REG_REG,1409,163212,4019980,24.630419,34704.261,41,1
rxvm,SWAPN_REG_REG_REG_REG_REG_REG,2,SWAP_REG_REG,1409,163212,4019980,24.630419,34704.261,41,1
rxvm,SWAPN_REG_REG_REG_REG_REG_REG,3,SWAP_REG_REG,1409,163212,4019980,24.630419,34704.261,41,1
rxvm,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,1,SWAP_REG_REG,1406,163212,4019980,24.630419,34630.370,41,1
rxvm,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,2,SWAP_REG_REG,1406,163212,4019980,24.630419,34630.370,41,1
rxvm,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,3,SWAP_REG_REG,1406,163212,4019980,24.630419,34630.370,41,1
rxvm,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,4,SWAP_REG_REG,1406,163212,4019980,24.630419,34630.370,41,1
rxvm,SETTPSWAP_REG_INT_REG,1,SETTP_REG_INT,2800,216807,2774516,12.797170,35832.076,41,1
rxvm,SETTPSWAP_REG_INT_REG,2,SWAP_REG_REG,2800,163212,4019980,24.630419,68965.174,41,1
rxvm,LOADSETTP2_REG_INT_REG_INT,1,LOAD_REG_INT,5610,669930,8596184,12.831466,71984.524,41,1
rxvm,LOADSETTP2_REG_INT_REG_INT,2,SETTP_REG_INT,5610,216807,2774516,12.797170,71792.123,41,1
rxvm,LOADSETTPSWAP_REG_INT_REG_INT_REG,1,LOAD_REG_INT,56274,669930,8596184,12.831466,722077.916,41,1
rxvm,LOADSETTPSWAP_REG_INT_REG_INT_REG,2,SETTP_REG_INT,56274,216807,2774516,12.797170,720147.935,41,1
rxvm,LOADSETTPSWAP_REG_INT_REG_INT_REG,3,SWAP_REG_REG,56274,163212,4019980,24.630419,1386052.217,41,1
rxvm,SWAPSETTP_REG_REG_REG_INT,1,SWAP_REG_REG,2,163212,4019980,24.630419,49.261,41,1
rxvm,SWAPSETTP_REG_REG_REG_INT,2,SETTP_REG_INT,2,216807,2774516,12.797170,25.594,41,1
rxvm,SWAPSETTPSWAP_REG_REG_REG_INT_REG,1,SWAP_REG_REG,0,163212,4019980,24.630419,0.000,41,1
rxvm,SWAPSETTPSWAP_REG_REG_REG_INT_REG,2,SETTP_REG_INT,0,216807,2774516,12.797170,0.000,41,1
rxvm,SWAPSETTPSWAP_REG_REG_REG_INT_REG,3,SWAP_REG_REG,0,163212,4019980,24.630419,0.000,41,1
rxvm,SETTPSWAPSETTP_REG_INT_REG_REG,1,SETTP_REG_INT,0,216807,2774516,12.797170,0.000,41,1
