opcode	class	family	components	component_count	terminal_transition	coherence_shape	side_effect_policy	review_bar	producer	handler_shape	rxvm_count	rxvm_saved_dispatches	rxvm_component_handler_avg_ns	rxvm_macro_handler_avg_ns	rxvm_handler_delta_percent	rxvm_component_full_avg_ns	rxvm_macro_full_avg_ns	rxvm_full_delta_percent	rxvm_full_delta_share_ppm	rxvm_macro_time_share_percent	rxvm_profile_signal	rxvm_observation_band	rxbvm_count	rxbvm_saved_dispatches	rxbvm_component_handler_avg_ns	rxbvm_macro_handler_avg_ns	rxbvm_handler_delta_percent	rxbvm_component_full_avg_ns	rxbvm_macro_full_avg_ns	rxbvm_full_delta_percent	rxbvm_full_delta_share_ppm	rxbvm_macro_time_share_percent	rxbvm_profile_signal	rxbvm_observation_band	coherence_review	implementation_review	decision	review_notes	temporary_register_policy
NUMCTX_INT_INT_INT_INT_INT	2	numeric-context	SETNUMDGTS_INT;SETNUMFUZ_INT;SETNUMFRM_INT;SETNUMCAS_INT;SETNUMSTD_INT	5	sequential	context-unit	exact-effects	normal	rxc-direct	validation-and-context-sync	0	0	281.000000	0.000000	-100.000000	333.523595	10.668843	-96.801173	0.000000	0.000000	inactive	zero	0	0	6500.000000	0.000000	-100.000000	6553.782144	10.914233	-99.833467	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Nine overlapping numeric-context identities collapse to this complete-context form.	no-compiler-temporary-output
SWAPN_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG	2	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-swaps	11200	11200	49.260839	54.202768	10.032166	70.270276	64.871610	-7.682716	-49.607789	0.049806	indicated-saving	1000+	11200	11200	48.157501	46.712143	-3.001314	69.670358	57.626376	-17.287098	-110.351644	0.042799	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SWAPN_REG_REG_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG	3	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-swaps	1409	2818	73.891258	25.077360	-66.061804	105.405415	35.746202	-66.086939	-80.525780	0.002899	indicated-saving	1000+	1409	2818	72.236251	24.294535	-66.367946	104.505538	35.208768	-66.309185	-79.875693	0.002800	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	1	multi-swap	SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG	4	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-swaps	1406	4218	98.521677	39.506401	-59.900803	140.540553	50.175244	-64.298387	-104.239531	0.004557	indicated-saving	1000+	1406	4218	96.315001	48.021337	-50.141373	139.340717	58.935570	-57.703986	-92.482557	0.005523	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SETTPSWAP_REG_INT_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG	2	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-status-and-swap	2800	2800	37.427589	16.466429	-56.004571	58.437027	27.135271	-53.564936	-71.907157	0.003783	indicated-saving	1000+	2800	2800	36.586266	17.835357	-51.251224	58.099124	28.749590	-50.516311	-67.227955	0.004085	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
LOADSETTP2_REG_INT_REG_INT	1	call-window-preparation	LOAD_REG_INT;SETTP_REG_INT	2	sequential	call-setup	exact-effects	normal	rxas-backstop	set-int-and-inline-status	5610	5610	25.628636	16.590196	-35.266956	46.638074	27.259039	-41.551963	-89.194976	0.007636	indicated-saving	1000+	5610	5610	24.730003	16.675401	-32.570161	46.242860	27.589634	-40.337528	-85.606647	0.007653	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
LOADSETTPSWAP_REG_INT_REG_INT_REG	1	call-window-preparation	LOAD_REG_INT;SETTP_REG_INT;SWAP_REG_REG	3	sequential	call-setup	exact-effects	normal	rxas-backstop	set-int-status-and-swap	56274	112548	50.259055	14.925809	-70.302248	81.773212	25.594652	-68.700444	-2593.724091	0.068911	indicated-saving	1000+	56274	112548	48.808753	15.588122	-68.062855	81.078040	26.502355	-67.312536	-2512.451195	0.071762	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SWAPSETTP_REG_REG_REG_INT	1	call-window-preparation	SWAP_REG_REG;SETTP_REG_INT	2	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-swap-and-status	2	2	37.427589	1062.500000	2738.814959	58.437027	1073.168843	1736.453527	1.665048	0.000174	possible-slowdown	1-99	2	2	36.586266	1125.500000	2976.290958	58.099124	1136.414233	1855.992025	1.764275	0.000184	possible-slowdown	1-99	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SWAPSETTPSWAP_REG_REG_REG_INT_REG	1	call-window-preparation	SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG	3	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-swaps-and-status	0	0	62.058008	0.000000	-100.000000	93.572165	10.668843	-88.598273	0.000000	0.000000	inactive	zero	0	0	60.665017	0.000000	-100.000000	92.934303	10.914233	-88.255970	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SETTPSWAPSETTP_REG_INT_REG_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT	3	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-status-and-swap	0	0	50.224759	0.000000	-100.000000	81.738916	10.668843	-86.947658	0.000000	0.000000	inactive	zero	0	0	49.093782	0.000000	-100.000000	81.363069	10.914233	-86.585766	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
