section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,746,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,16220865,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SRCFPROCSEL_REG_STRING_REG,,58,7,751038292,107291184,106689542,107733667,71.843660,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,109152,40594951,371,0,25916,3.883277,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,2954764,37036317,12,0,17833,3.542861,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,56968,13448740,236,83,14958,1.286495,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1056312,12968169,12,0,32708,1.240524,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,744352,12689140,17,0,3547833,1.213832,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,916959,12629662,13,0,12500,1.208142,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,805703,11094035,13,0,16375,1.061246,,,,,,,,,,,,,,
