round,vm,order,image,repetitions,elapsed_seconds,max_rss_bytes,peak_footprint_bytes,correct
26,rxvm,1,candidate,1,0.003863811,7045120,2113944,1
26,rxvm,2,baseline,1,0.003829956,7077888,2146712,1
26,rxbvm,1,candidate,1,0.003762960,6914048,1982872,1
26,rxbvm,2,baseline,1,0.003714085,6946816,2032024,1
27,rxvm,1,baseline,1,0.003684998,7110656,2179480,1
27,rxvm,2,candidate,1,0.003787041,7045120,2113944,1
27,rxbvm,1,baseline,1,0.003729105,6914048,1999256,1
27,rxbvm,2,candidate,1,0.003622055,6930432,1999256,1
28,rxvm,1,candidate,1,0.003628016,7077888,2146712,1
28,rxvm,2,baseline,1,0.003664970,7061504,2130328,1
28,rxbvm,1,candidate,1,0.003703117,6914048,1982872,1
28,rxbvm,2,baseline,1,0.003700972,6914048,1999256,1
29,rxvm,1,baseline,1,0.003751993,7110656,2179480,1
29,rxvm,2,candidate,1,0.003659010,7045120,2113944,1
29,rxbvm,1,baseline,1,0.003715038,6963200,2048408,1
29,rxbvm,2,candidate,1,0.003542185,6930432,1999256,1
30,rxvm,1,candidate,1,0.003595829,7045120,2113944,1
30,rxvm,2,baseline,1,0.003683090,7077888,2146712,1
30,rxbvm,1,candidate,1,0.003643036,6914048,1982872,1
30,rxbvm,2,baseline,1,0.003739119,6946816,2032024,1
31,rxvm,1,baseline,1,0.003631830,7110656,2179480,1
31,rxvm,2,candidate,1,0.003592968,7045120,2113944,1
31,rxbvm,1,baseline,1,0.003520012,6963200,2048408,1
31,rxbvm,2,candidate,1,0.003746033,6963200,2032024,1
32,rxvm,1,candidate,1,0.003668070,7045120,2113944,1
32,rxvm,2,baseline,1,0.003710985,7061504,2130328,1
32,rxbvm,1,candidate,1,0.003841162,6930432,1999256,1
32,rxbvm,2,baseline,1,0.003757000,6946816,2032024,1
33,rxvm,1,baseline,1,0.003658056,7045120,2113944,1
33,rxvm,2,candidate,1,0.003778934,7094272,2163096,1
33,rxbvm,1,baseline,1,0.003731966,6963200,2048408,1
33,rxbvm,2,candidate,1,0.003872871,6914048,1982872,1
34,rxvm,1,candidate,1,0.003570080,7045120,2113944,1
34,rxvm,2,baseline,1,0.003681183,7061504,2130328,1
34,rxbvm,1,candidate,1,0.003569841,6914048,1982872,1
34,rxbvm,2,baseline,1,0.003624916,6946816,2032024,1
35,rxvm,1,baseline,1,0.003658056,7094272,2163096,1
35,rxvm,2,candidate,1,0.003623009,7061504,2130328,1
35,rxbvm,1,baseline,1,0.003615141,6897664,1982872,1
35,rxbvm,2,candidate,1,0.003549814,6914048,1982872,1
36,rxvm,1,candidate,1,0.003642082,7045120,2113944,1
36,rxvm,2,baseline,1,0.003593922,7061504,2130328,1
36,rxbvm,1,candidate,1,0.003515005,6914048,1982872,1
36,rxbvm,2,baseline,1,0.003602982,6930432,2015640,1
37,rxvm,1,baseline,1,0.003710985,7061504,2130328,1
37,rxvm,2,candidate,1,0.003716946,7045120,2113944,1
37,rxbvm,1,baseline,1,0.003683090,6914048,1999256,1
37,rxbvm,2,candidate,1,0.003614902,6914048,1982872,1
