round,vm,order,image,repetitions,elapsed_seconds,queue_packets,holds,correct
1,rxvm,1,baseline,1,0.584697008,23246,9297,1
1,rxvm,2,candidate,1,0.580255032,23246,9297,1
1,rxbvm,1,baseline,1,0.582591057,23246,9297,1
1,rxbvm,2,candidate,1,0.578271866,23246,9297,1
2,rxvm,1,candidate,1,0.582318068,23246,9297,1
2,rxvm,2,baseline,1,0.584313869,23246,9297,1
2,rxbvm,1,candidate,1,0.573071003,23246,9297,1
2,rxbvm,2,baseline,1,0.581662178,23246,9297,1
3,rxvm,1,baseline,1,0.576173782,23246,9297,1
3,rxvm,2,candidate,1,0.577419996,23246,9297,1
3,rxbvm,1,baseline,1,0.581907988,23246,9297,1
3,rxbvm,2,candidate,1,0.578569889,23246,9297,1
4,rxvm,1,candidate,1,0.579360008,23246,9297,1
4,rxvm,2,baseline,1,0.582509995,23246,9297,1
4,rxbvm,1,candidate,1,0.578058004,23246,9297,1
4,rxbvm,2,baseline,1,0.582280874,23246,9297,1
5,rxvm,1,baseline,1,0.578189850,23246,9297,1
5,rxvm,2,candidate,1,0.577836990,23246,9297,1
5,rxbvm,1,baseline,1,0.581865072,23246,9297,1
5,rxbvm,2,candidate,1,0.583924055,23246,9297,1
6,rxvm,1,candidate,1,0.579680920,23246,9297,1
6,rxvm,2,baseline,1,0.582826138,23246,9297,1
6,rxbvm,1,candidate,1,0.576843977,23246,9297,1
6,rxbvm,2,baseline,1,0.587455034,23246,9297,1
7,rxvm,1,baseline,1,0.584086895,23246,9297,1
7,rxvm,2,candidate,1,0.579048157,23246,9297,1
7,rxbvm,1,baseline,1,0.580036163,23246,9297,1
7,rxbvm,2,candidate,1,0.581218958,23246,9297,1
8,rxvm,1,candidate,1,0.580531120,23246,9297,1
8,rxvm,2,baseline,1,0.581695080,23246,9297,1
8,rxbvm,1,candidate,1,0.576951981,23246,9297,1
8,rxbvm,2,baseline,1,0.586302996,23246,9297,1
9,rxvm,1,baseline,1,0.582731009,23246,9297,1
9,rxvm,2,candidate,1,0.579529047,23246,9297,1
9,rxbvm,1,baseline,1,0.582479954,23246,9297,1
9,rxbvm,2,candidate,1,0.578304052,23246,9297,1
10,rxvm,1,candidate,1,0.579002142,23246,9297,1
10,rxvm,2,baseline,1,0.581763029,23246,9297,1
10,rxbvm,1,candidate,1,0.577653170,23246,9297,1
10,rxbvm,2,baseline,1,0.581809044,23246,9297,1
11,rxvm,1,baseline,1,0.578325033,23246,9297,1
11,rxvm,2,candidate,1,0.580528021,23246,9297,1
11,rxbvm,1,baseline,1,0.580991030,23246,9297,1
11,rxbvm,2,candidate,1,0.578202009,23246,9297,1
12,rxvm,1,candidate,1,0.583643913,23246,9297,1
12,rxvm,2,baseline,1,0.580713987,23246,9297,1
12,rxbvm,1,candidate,1,0.579409838,23246,9297,1
12,rxbvm,2,baseline,1,0.581763029,23246,9297,1
13,rxvm,1,baseline,1,0.577050924,23246,9297,1
13,rxvm,2,candidate,1,0.576998949,23246,9297,1
13,rxbvm,1,baseline,1,0.577795982,23246,9297,1
13,rxbvm,2,candidate,1,0.575978994,23246,9297,1
