sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-List-list-rxvm-baseline-warmup-1,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,warmup,1,1,100,195261000,,0,pass,,
timing-List-list-rxvm-candidate-warmup-1,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,warmup,1,2,100,181575000,,0,pass,,
timing-List-list-rxbvm-baseline-warmup-1,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,warmup,1,3,100,198894000,,0,pass,,
timing-List-list-rxbvm-candidate-warmup-1,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,warmup,1,4,100,184565000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-1,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,1,1,100,196956000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-1,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,1,2,100,181906000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-1,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,1,3,100,199711000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-1,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,1,4,100,186196000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-2,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,2,1,100,183408000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-2,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,2,2,100,196068000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-2,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,2,3,100,185382000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-2,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,2,4,100,191022000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-3,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,3,1,100,196227000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-3,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,3,2,100,186459000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-3,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,3,3,100,195104000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-3,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,3,4,100,181699000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-4,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,4,1,100,184634000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-4,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,4,2,100,191951000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-4,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,4,3,100,182432000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-4,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,4,4,100,195513000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-5,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,5,1,100,194956000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-5,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,5,2,100,182559000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-5,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,5,3,100,196339000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-5,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,5,4,100,185774000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-6,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,6,1,100,184058000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-6,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,6,2,100,199138000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-6,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,6,3,100,184846000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-6,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,6,4,100,192549000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-7,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,7,1,100,196980000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-7,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,7,2,100,185664000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-7,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,7,3,100,193256000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-7,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,7,4,100,180736000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-8,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,8,1,100,184204000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-8,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,8,2,100,191214000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-8,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,8,3,100,188304000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-8,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,8,4,100,200894000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-9,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,9,1,100,193348000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-9,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,9,2,100,182382000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-9,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,9,3,100,197286000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-9,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,9,4,100,185796000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-10,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,10,1,100,179555000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-10,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,10,2,100,196087000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-10,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,10,3,100,185496000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-10,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,10,4,100,193043000,,0,pass,,
timing-List-list-rxbvm-baseline-recorded-11,timing,List,list-rxbvm-baseline,crexx,rxbvm,baseline,A,no,no,recorded,11,1,100,199004000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-11,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,11,2,100,185503000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-11,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,11,3,100,196004000,,0,pass,,
timing-List-list-rxvm-candidate-recorded-11,timing,List,list-rxvm-candidate,crexx,rxvm,candidate,A,no,no,recorded,11,4,100,181260000,,0,pass,,
timing-List-list-rxbvm-candidate-recorded-12,timing,List,list-rxbvm-candidate,crexx,rxbvm,candidate,A,no,no,recorded,12,1,100,185800000,,0,pass,,
timing-List-list-rxvm-baseline-recorded-12,timing,List,list-rxvm-baseline,crexx,rxvm,baseline,A,no,no,recorded,12,2,100,193534000,,0,pass,,
