sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-RexxCPS-NR26-nr26-baseline-rxvm-recorded-1,timing,RexxCPS-NR26,nr26-baseline-rxvm,crexx,rxvm,baseline-accepted-nr14,A,no,no,recorded,1,1,1000-clauses,5663439000,,0,pass,1769167,cREXX clauses per second
timing-RexxCPS-NR26-nr26-candidate-rxvm-recorded-1,timing,RexxCPS-NR26,nr26-candidate-rxvm,crexx,rxvm,candidate-nr26,A,no,no,recorded,1,2,1000-clauses,5826144000,,0,pass,1720337,cREXX clauses per second
timing-RexxCPS-NR26-nr26-baseline-rxbvm-recorded-1,timing,RexxCPS-NR26,nr26-baseline-rxbvm,crexx,rxbvm,baseline-accepted-nr14,A,no,no,recorded,1,3,1000-clauses,5727530000,,0,pass,1751331,cREXX clauses per second
timing-RexxCPS-NR26-nr26-candidate-rxbvm-recorded-1,timing,RexxCPS-NR26,nr26-candidate-rxbvm,crexx,rxbvm,candidate-nr26,A,no,no,recorded,1,4,1000-clauses,5700373000,,0,pass,1756843,cREXX clauses per second
timing-RexxCPS-NR26-nr26-candidate-rxvm-recorded-2,timing,RexxCPS-NR26,nr26-candidate-rxvm,crexx,rxvm,candidate-nr26,A,no,no,recorded,2,1,1000-clauses,5634880000,,0,pass,1778120,cREXX clauses per second
timing-RexxCPS-NR26-nr26-baseline-rxbvm-recorded-2,timing,RexxCPS-NR26,nr26-baseline-rxbvm,crexx,rxbvm,baseline-accepted-nr14,A,no,no,recorded,2,2,1000-clauses,5714492000,,0,pass,1752535,cREXX clauses per second
timing-RexxCPS-NR26-nr26-candidate-rxbvm-recorded-2,timing,RexxCPS-NR26,nr26-candidate-rxbvm,crexx,rxbvm,candidate-nr26,A,no,no,recorded,2,3,1000-clauses,5798522000,,0,pass,1727159,cREXX clauses per second
timing-RexxCPS-NR26-nr26-baseline-rxvm-recorded-2,timing,RexxCPS-NR26,nr26-baseline-rxvm,crexx,rxvm,baseline-accepted-nr14,A,no,no,recorded,2,4,1000-clauses,5730759000,,0,pass,1747541,cREXX clauses per second
timing-RexxCPS-NR26-nr26-baseline-rxbvm-recorded-3,timing,RexxCPS-NR26,nr26-baseline-rxbvm,crexx,rxbvm,baseline-accepted-nr14,A,no,no,recorded,3,1,1000-clauses,5857438000,,0,pass,1709649,cREXX clauses per second
timing-RexxCPS-NR26-nr26-candidate-rxbvm-recorded-3,timing,RexxCPS-NR26,nr26-candidate-rxbvm,crexx,rxbvm,candidate-nr26,A,no,no,recorded,3,2,1000-clauses,6136587000,,0,pass,1631905,cREXX clauses per second
timing-RexxCPS-NR26-nr26-baseline-rxvm-recorded-3,timing,RexxCPS-NR26,nr26-baseline-rxvm,crexx,rxvm,baseline-accepted-nr14,A,no,no,recorded,3,3,1000-clauses,5840136000,,0,pass,1714766,cREXX clauses per second
timing-RexxCPS-NR26-nr26-candidate-rxvm-recorded-3,timing,RexxCPS-NR26,nr26-candidate-rxvm,crexx,rxvm,candidate-nr26,A,no,no,recorded,3,4,1000-clauses,5806152000,,0,pass,1724862,cREXX clauses per second
timing-RexxCPS-NR26-nr26-candidate-rxbvm-recorded-4,timing,RexxCPS-NR26,nr26-candidate-rxbvm,crexx,rxbvm,candidate-nr26,A,no,no,recorded,4,1,1000-clauses,5924874000,,0,pass,1690286,cREXX clauses per second
timing-RexxCPS-NR26-nr26-baseline-rxvm-recorded-4,timing,RexxCPS-NR26,nr26-baseline-rxvm,crexx,rxvm,baseline-accepted-nr14,A,no,no,recorded,4,2,1000-clauses,5871448000,,0,pass,1705597,cREXX clauses per second
