sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Mandelbrot-NR26-panel-nr26-panel-baseline-mandelbrot-rxvm-warmup-1,timing,Mandelbrot-NR26-panel,nr26-panel-baseline-mandelbrot-rxvm,crexx,rxvm,baseline-accepted-nr14,A,no,no,warmup,1,1,500,185689000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-candidate-mandelbrot-rxvm-warmup-1,timing,Mandelbrot-NR26-panel,nr26-panel-candidate-mandelbrot-rxvm,crexx,rxvm,candidate-nr26-panel,A,no,no,warmup,1,2,500,179300000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-baseline-mandelbrot-rxbvm-warmup-1,timing,Mandelbrot-NR26-panel,nr26-panel-baseline-mandelbrot-rxbvm,crexx,rxbvm,baseline-accepted-nr14,A,no,no,warmup,1,3,500,140779000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-candidate-mandelbrot-rxbvm-warmup-1,timing,Mandelbrot-NR26-panel,nr26-panel-candidate-mandelbrot-rxbvm,crexx,rxbvm,candidate-nr26-panel,A,no,no,warmup,1,4,500,163913000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-baseline-mandelbrot-rxvm-recorded-1,timing,Mandelbrot-NR26-panel,nr26-panel-baseline-mandelbrot-rxvm,crexx,rxvm,baseline-accepted-nr14,A,no,no,recorded,1,1,500,168238000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-candidate-mandelbrot-rxvm-recorded-1,timing,Mandelbrot-NR26-panel,nr26-panel-candidate-mandelbrot-rxvm,crexx,rxvm,candidate-nr26-panel,A,no,no,recorded,1,2,500,165665000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-baseline-mandelbrot-rxbvm-recorded-1,timing,Mandelbrot-NR26-panel,nr26-panel-baseline-mandelbrot-rxbvm,crexx,rxbvm,baseline-accepted-nr14,A,no,no,recorded,1,3,500,140775000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-candidate-mandelbrot-rxbvm-recorded-1,timing,Mandelbrot-NR26-panel,nr26-panel-candidate-mandelbrot-rxbvm,crexx,rxbvm,candidate-nr26-panel,A,no,no,recorded,1,4,500,141633000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-candidate-mandelbrot-rxvm-recorded-2,timing,Mandelbrot-NR26-panel,nr26-panel-candidate-mandelbrot-rxvm,crexx,rxvm,candidate-nr26-panel,A,no,no,recorded,2,1,500,162823000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-baseline-mandelbrot-rxbvm-recorded-2,timing,Mandelbrot-NR26-panel,nr26-panel-baseline-mandelbrot-rxbvm,crexx,rxbvm,baseline-accepted-nr14,A,no,no,recorded,2,2,500,143824000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-candidate-mandelbrot-rxbvm-recorded-2,timing,Mandelbrot-NR26-panel,nr26-panel-candidate-mandelbrot-rxbvm,crexx,rxbvm,candidate-nr26-panel,A,no,no,recorded,2,3,500,144713000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-baseline-mandelbrot-rxvm-recorded-2,timing,Mandelbrot-NR26-panel,nr26-panel-baseline-mandelbrot-rxvm,crexx,rxvm,baseline-accepted-nr14,A,no,no,recorded,2,4,500,163567000,,0,pass,,
timing-Mandelbrot-NR26-panel-nr26-panel-baseline-mandelbrot-rxbvm-recorded-3,timing,Mandelbrot-NR26-panel,nr26-panel-baseline-mandelbrot-rxbvm,crexx,rxbvm,baseline-accepted-nr14,A,no,no,recorded,3,1,500,144218000,,0,pass,,
