profile,vm,candidate,size,copy_count,copy_total_ns,copy_average_ns,binary_buffers,binary_buffer_bytes,binary_buffer_max_bytes,attribute_value_blocks,attribute_value_bytes,attribute_value_max_bytes,attribute_pointer_storage,attribute_pointer_bytes,attribute_pointer_max_bytes,value_slots,value_slot_bytes,value_slot_max_bytes
lifecycle-rxbvm-d1-1024.csv,rxbvm,d1,1024,102,2790126,27354,0,0,0,42,2170496,253952,98,205952,8192,8857,2196536,253952
lifecycle-rxbvm-d1-64.csv,rxbvm,d1,64,1002,3149423,3143,0,0,0,26,265856,63488,66,21632,2048,1177,291896,63488
lifecycle-rxbvm-d2-1024.csv,rxbvm,d2,1024,103,111584,1083,7,389120,131072,2,3968,1984,6,384,64,117,29016,9424
lifecycle-rxbvm-d2-64.csv,rxbvm,d2,64,1003,87290,87,3,20480,8192,2,3968,1984,6,384,64,117,29016,9424
lifecycle-rxbvm-d2h-1024.csv,rxbvm,d2h,1024,103,1400499,13597,6,96256,32768,22,1023744,253952,52,99072,8192,4229,1048792,253952
lifecycle-rxbvm-d2h-64.csv,rxbvm,d2h,64,1003,796081,793,3,10240,4096,14,71424,15872,36,6912,512,389,96472,15872
lifecycle-rxvm-d1-1024.csv,rxvm,d1,1024,102,2683498,26308,0,0,0,42,2170496,253952,98,205952,8192,8857,2196536,253952
lifecycle-rxvm-d1-64.csv,rxvm,d1,64,1002,3072302,3066,0,0,0,26,265856,63488,66,21632,2048,1177,291896,63488
lifecycle-rxvm-d2-1024.csv,rxvm,d2,1024,103,122501,1189,7,389120,131072,2,3968,1984,6,384,64,117,29016,9424
lifecycle-rxvm-d2-64.csv,rxvm,d2,64,1003,86750,86,3,20480,8192,2,3968,1984,6,384,64,117,29016,9424
lifecycle-rxvm-d2h-1024.csv,rxvm,d2h,1024,103,1370253,13303,6,96256,32768,22,1023744,253952,52,99072,8192,4229,1048792,253952
lifecycle-rxvm-d2h-64.csv,rxvm,d2h,64,1003,795597,793,3,10240,4096,14,71424,15872,36,6912,512,389,96472,15872
