section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,738,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,11693,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,208459,104229,542,207917,40.145477,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1003,87290,87,41,7083,16.810493,,,,,,,,,,,,,,
instruction,NR15D2GET_REG_REG_REG,,646,1000,24877,24,0,1375,4.790865,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,3,18583,6194,1208,15375,3.578754,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1014,13707,13,0,1792,2.639723,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1066,13592,12,0,750,2.617576,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,1064,13503,12,0,1333,2.600436,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,1000,12875,12,0,875,2.479495,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1009,12621,12,0,834,2.430579,,,,,,,,,,,,,,
