section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,756,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,190692,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,NR15D1GET_REG_REG_REG,,641,10000,360682,36,0,1625,11.655518,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,21031,279766,13,0,291,9.040700,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,237209,118604,750,236459,7.665461,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,13331,174005,13,0,958,5.623010,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,13343,162831,12,0,250,5.261920,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,13072,161928,12,0,2292,5.232739,,,,,,,,,,,,,,
instruction,BR_ID,,36,11796,144827,12,0,1709,4.680116,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,10512,141963,13,0,3125,4.587566,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,10530,133423,12,0,2416,4.311594,,,,,,,,,,,,,,
