section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,745,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,321623,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,40198,525266,13,0,292,12.013134,,,,,,,,,,,,,,
instruction,NR15D2GET_REG_REG_REG,,646,20000,351455,17,0,1500,8.037977,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,20131,252558,12,0,875,5.776146,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,20128,252200,12,0,2000,5.767958,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,20000,245747,12,0,333,5.620375,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,20000,245049,12,0,1292,5.604411,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,20131,243375,12,0,958,5.566126,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,20014,241797,12,0,2292,5.530036,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,241333,120666,3125,238208,5.519424,,,,,,,,,,,,,,
