section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,758,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,161751,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,20198,261455,12,0,250,10.961086,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,226250,113125,500,225750,9.485172,,,,,,,,,,,,,,
instruction,NR15D2GET_REG_REG_REG,,646,10000,196395,19,0,1084,8.233549,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,10131,130451,12,0,917,5.468951,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,10128,126987,12,0,1750,5.323728,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,10131,124334,12,0,834,5.212506,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,10000,123894,12,0,292,5.194059,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,10000,123502,12,0,959,5.177625,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,10014,123131,12,0,2125,5.162072,,,,,,,,,,,,,,
