section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,741,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,182743,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,23078,300014,13,0,1375,10.908624,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,244167,122083,542,243625,8.878006,,,,,,,,,,,,,,
instruction,NR15D2GET_REG_REG_REG,,646,10000,194945,19,0,1166,7.088275,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,12048,167646,13,0,7791,6.095673,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,12048,145961,12,0,2542,5.307198,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,12063,144388,11,0,792,5.250003,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,12051,143155,11,0,791,5.205171,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,12051,143004,11,0,125,5.199680,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,11030,131242,11,0,750,4.772009,,,,,,,,,,,,,,
instruction,BR_ID,,36,11028,129327,11,0,2459,4.702379,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,10000,123841,12,0,1083,4.502906,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,10000,120812,12,0,250,4.392771,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,10000,119570,11,0,250,4.347611,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,10000,118943,11,0,959,4.324813,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,10000,118031,11,0,125,4.291652,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,10014,117782,11,0,84,4.282599,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2054,75421,36,0,3833,2.742337,,,,,,,,,,,,,,
instruction,NR15D2SET_REG_REG_REG,,647,1024,43110,42,0,2667,1.567496,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,5,40625,8125,42,21166,1.477141,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,2055,28367,13,0,167,1.031435,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,20374,10187,1458,18916,0.740806,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1049,13481,12,0,750,0.490174,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,1026,12999,12,0,208,0.472649,,,,,,,,,,,,,,
instruction,SAY_REG,,450,7,9667,1381,1166,2084,0.351496,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,5,6333,1266,41,6083,0.230270,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,3,4042,1347,0,2458,0.146969,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,3085,96,0,1334,0.112172,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,5,3042,608,0,2917,0.110608,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,2,2875,1437,1000,1875,0.104536,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,4,2291,572,83,1958,0.083302,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_INT,,293,5,2291,458,0,2250,0.083302,,,,,,,,,,,,,,
