section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,779,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,182743,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,23078,307062,13,0,1792,10.680325,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,241250,120625,2250,239000,8.391231,,,,,,,,,,,,,,
instruction,NR15D2HGET_REG_REG_REG,,651,10000,189550,18,0,500,6.592986,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,12048,180185,14,0,12959,6.267250,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,12051,151383,12,0,875,5.265450,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,12051,148273,12,0,250,5.157277,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,12048,148139,12,0,2750,5.152616,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,11030,141532,12,0,833,4.922809,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,12063,140625,11,0,958,4.891262,,,,,,,,,,,,,,
instruction,BR_ID,,36,11028,131338,11,0,3041,4.568239,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,10000,128623,12,0,1250,4.473805,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,10000,127211,12,0,1209,4.424692,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,10000,124767,12,0,166,4.339684,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,10000,124395,12,0,333,4.326745,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,10014,123691,12,0,167,4.302258,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,10000,123584,12,0,166,4.298537,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2054,77064,37,0,1458,2.680464,,,,,,,,,,,,,,
instruction,NR15D2HSET_REG_REG_REG,,652,1024,73454,71,0,9583,2.554900,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,5,46458,9291,41,26000,1.615916,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,2055,28697,13,0,208,0.998148,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,19916,9958,1208,18708,0.692724,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,5,15000,3000,42,14667,0.521735,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,1026,14252,13,0,250,0.495717,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,1049,13242,12,0,958,0.460587,,,,,,,,,,,,,,
instruction,SAY_REG,,450,7,9500,1357,1125,1917,0.330432,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,3,7666,2555,1666,3375,0.266641,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,2,3750,1875,1250,2500,0.130434,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,3292,102,0,1417,0.114503,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,5,3084,616,0,3042,0.107269,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_INT,,293,5,2542,508,0,2458,0.088417,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,4,2416,604,83,2000,0.084034,,,,,,,,,,,,,,
