section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,753,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,190167,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,NR15D2HGET_REG_REG_REG,,651,10000,314787,31,0,625,10.821521,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,20774,280795,13,0,1500,9.652968,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,239292,119646,500,238792,8.226208,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,13331,158095,11,0,833,5.434876,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,13072,155182,11,0,2542,5.334735,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,13343,152614,11,0,917,5.246454,,,,,,,,,,,,,,
instruction,BR_ID,,36,11540,134968,11,0,2708,4.639833,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,10512,134389,12,0,1917,4.619928,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,10000,128020,12,0,1167,4.400979,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,10256,127225,12,0,792,4.373649,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,10526,126336,12,0,167,4.343088,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,10000,124845,12,0,375,4.291831,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,10262,123638,12,0,917,4.250338,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,10515,122483,11,0,333,4.210632,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,10000,120826,12,0,542,4.153669,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,10000,114969,11,0,291,3.952321,,,,,,,,,,,,,,
instruction,CONCAT_REG_REG_STRING,,135,2560,55878,21,0,292,1.920934,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,3609,43764,12,0,834,1.504487,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,2562,34576,13,0,916,1.188629,,,,,,,,,,,,,,
instruction,NR15D2HSET_REG_REG_REG,,652,256,31463,122,0,4417,1.081612,,,,,,,,,,,,,,
instruction,IDIV_REG_REG_INT,,23,2560,31171,12,0,334,1.071574,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_INT,,26,2560,29660,11,0,292,1.019630,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,5,19875,3975,83,8250,0.683248,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,18917,9458,1209,17708,0.650315,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_STRING,,117,1026,13752,13,0,167,0.472756,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,262,11126,42,0,583,0.382482,,,,,,,,,,,,,,
instruction,SAY_REG,,450,7,10792,1541,1208,1959,0.371000,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,5,6042,1208,42,5750,0.207708,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,264,3918,14,0,167,0.134690,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,3791,118,0,1750,0.130324,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,263,3417,12,0,208,0.117467,,,,,,,,,,,,,,
