section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,740,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,172453,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1065,3275143,3075,333,38958,55.551027,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,15505,236894,15,0,167,4.018055,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,16208,197001,12,0,125,3.341414,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,15517,184813,11,0,167,3.134688,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,14890,181549,12,0,1208,3.079326,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,178500,89250,709,177791,3.027611,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,13375,171560,12,0,250,2.909899,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,13375,161235,12,0,125,2.734772,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,13375,161207,12,0,125,2.734297,,,,,,,,,,,,,,
