section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,736,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,148991,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1129,3471932,3075,375,11416,56.923245,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,2130,321740,151,83,2417,5.275013,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,14539,181324,12,0,1041,2.972855,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,166666,83333,625,166041,2.732533,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,10595,130053,12,0,1625,2.132253,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,9776,123407,12,0,1167,2.023290,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,9788,118716,12,0,167,1.946380,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,8517,106561,12,0,167,1.747096,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,8517,106518,12,0,167,1.746391,,,,,,,,,,,,,,
instruction,STRCHAR_REG_REG_REG,,150,7517,99449,13,0,167,1.630493,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2325,94954,40,0,292,1.556796,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,7517,94100,12,0,584,1.542794,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,7528,92900,12,0,166,1.523120,,,,,,,,,,,,,,
instruction,IMULT_REG_REG_INT,,21,7517,90367,12,0,125,1.481591,,,,,,,,,,,,,,
instruction,RET_REG,,49,2068,85653,41,0,458,1.404304,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,4007,70548,17,0,1750,1.156653,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,5535,70174,12,0,250,1.150521,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,2690,69072,25,0,33375,1.132454,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,3841,48544,12,0,625,0.795892,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2386,44442,18,0,4792,0.728638,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,2452,41112,16,0,1125,0.674042,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,2326,35452,15,0,125,0.581245,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,2197,34741,15,0,1250,0.569588,,,,,,,,,,,,,,
instruction,BR_ID,,36,2319,30953,13,0,1667,0.507483,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2256,27833,12,0,125,0.456329,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,2128,27581,12,0,208,0.452198,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,2128,25309,11,0,84,0.414948,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,1245,24396,19,0,4458,0.399979,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,1564,22309,14,0,1125,0.365762,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,20458,10229,1750,18708,0.335414,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1133,20307,17,0,5250,0.332939,,,,,,,,,,,,,,
