section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,741,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,158214,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1257,9032201,7185,334,31833,77.906603,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,17513,209690,11,0,208,1.808666,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,188584,94292,1209,187375,1.626618,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,1000,167881,167,84,2542,1.448046,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,13769,164430,11,0,1334,1.418279,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,10766,132032,12,0,84,1.138833,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,10778,128343,11,0,125,1.107013,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,9606,117311,12,0,625,1.011858,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,9508,114201,12,0,667,0.985033,,,,,,,,,,,,,,
