variant,vm,mode,family,size,iterations,elapsed_us,checksum
opt,rxvm,get-hit,ascii,16,10000,1287,24375
opt,rxvm,get-hit,ascii,64,10000,1099,28587
opt,rxvm,get-hit,ascii,256,10000,1250,35763
opt,rxvm,get-hit,ascii,1024,5000,774,19560
opt,rxvm,get-miss,ascii,64,10000,871,10000
opt,rxvm,set-existing,ascii,64,5000,878,162276
opt,rxvm,set-new,ascii,64,1000,720,1064
opt,rxvm,get-hit,collision,256,2000,514,7136
opt,rxbvm,get-hit,ascii,16,10000,1115,24375
opt,rxbvm,get-hit,ascii,64,10000,1033,28587
opt,rxbvm,get-hit,ascii,256,10000,1106,35763
opt,rxbvm,get-hit,ascii,1024,5000,683,19560
opt,rxbvm,get-miss,ascii,64,10000,927,10000
opt,rxbvm,set-existing,ascii,64,5000,798,162276
opt,rxbvm,set-new,ascii,64,1000,762,1064
opt,rxbvm,get-hit,collision,256,2000,511,7136
noopt,rxvm,get-hit,ascii,16,10000,1456,24375
noopt,rxvm,get-hit,ascii,64,10000,1485,28587
noopt,rxvm,get-hit,ascii,256,10000,1474,35763
noopt,rxvm,get-hit,ascii,1024,5000,889,19560
noopt,rxvm,get-miss,ascii,64,10000,788,10000
noopt,rxvm,set-existing,ascii,64,5000,805,162276
noopt,rxvm,set-new,ascii,64,1000,531,1064
noopt,rxvm,get-hit,collision,256,2000,511,7136
noopt,rxbvm,get-hit,ascii,16,10000,1486,24375
noopt,rxbvm,get-hit,ascii,64,10000,1381,28587
noopt,rxbvm,get-hit,ascii,256,10000,1415,35763
noopt,rxbvm,get-hit,ascii,1024,5000,883,19560
noopt,rxbvm,get-miss,ascii,64,10000,796,10000
noopt,rxbvm,set-existing,ascii,64,5000,792,162276
noopt,rxbvm,set-new,ascii,64,1000,544,1064
noopt,rxbvm,get-hit,collision,256,2000,596,7136
