profile,total_instructions,get_calls,set_calls,strlen,strchar,rxhash,imod,seq,linkattr1,minlinkattr1,setlinkattr1,unlink,copy,scopy,ret_copy_nonlocal,direct_bytecode_calls,frame_activations,frame_reuses,string_buffers,string_buffer_bytes,attribute_value_blocks,attribute_value_bytes,value_slots,value_slot_bytes
access-noopt-rxbvm-get-hit-ascii-64.csv,63200,1000,64,1000,0,1064,1000,1129,6091,4650,1120,3644,1,2259,1000,2131,2132,2125,0,0,24,150784,779,193192
access-noopt-rxbvm-get-miss-ascii-64.csv,36751,1000,64,0,0,1064,0,8,2849,408,1120,1523,1,1259,1000,1131,1132,1126,0,0,24,150784,776,192448
access-noopt-rxbvm-multi-tail-ascii-64.csv,75731,1000,128,1000,0,1128,1000,1604,7874,4880,1224,3504,1,1388,1000,2196,2197,2190,0,0,42,281728,1307,324136
access-noopt-rxbvm-reset-default-ascii-64.csv,35815,1,1064,1,0,65,0,9,2855,410,121,2526,1,1261,2,1134,1135,1127,0,0,24,150784,782,193936
access-noopt-rxbvm-set-existing-ascii-64.csv,35088,0,564,0,0,564,500,572,3477,2536,620,1587,1,1259,0,631,632,627,0,0,24,150784,759,188232
access-noopt-rxvm-get-hit-ascii-64.csv,63200,1000,64,1000,0,1064,1000,1129,6091,4650,1120,3644,1,2259,1000,2131,2132,2125,0,0,24,150784,779,193192
access-noopt-rxvm-get-miss-ascii-64.csv,36751,1000,64,0,0,1064,0,8,2849,408,1120,1523,1,1259,1000,1131,1132,1126,0,0,24,150784,776,192448
access-noopt-rxvm-multi-tail-ascii-64.csv,75731,1000,128,1000,0,1128,1000,1604,7874,4880,1224,3504,1,1388,1000,2196,2197,2190,0,0,42,281728,1307,324136
access-noopt-rxvm-reset-default-ascii-64.csv,35815,1,1064,1,0,65,0,9,2855,410,121,2526,1,1261,2,1134,1135,1127,0,0,24,150784,782,193936
access-noopt-rxvm-set-existing-ascii-64.csv,35088,0,564,0,0,564,500,572,3477,2536,620,1587,1,1259,0,631,632,627,0,0,24,150784,759,188232
access-opt-rxbvm-get-hit-ascii-1024.csv,137625,500,1024,500,0,1524,500,2943,20699,13798,1780,12138,1,6647,500,1527,1528,1523,0,0,44,1341184,5554,1377392
access-opt-rxbvm-get-hit-ascii-16.csv,48470,1000,16,1000,0,1016,1000,1000,5209,4096,1032,3131,1,1099,1000,1019,1020,1015,0,0,14,91264,514,127472
access-opt-rxbvm-get-hit-ascii-256.csv,72188,1000,256,1000,0,1256,1000,1365,9059,6329,1449,5416,1,2539,1000,1259,1260,1255,0,0,34,388864,1714,425072
access-opt-rxbvm-get-hit-collision-256.csv,71814,200,256,200,0,456,200,1343,6615,4820,514,3794,1,1739,200,459,460,455,2560,81920,34,388864,1714,425072
access-opt-rxbvm-get-hit-long-64.csv,29556,500,64,500,0,564,500,540,3413,2469,623,2055,1,887,500,567,568,563,136,16000,24,150784,754,186992
access-opt-rxbvm-get-hit-unicode-64.csv,29818,500,64,500,0,564,500,572,3477,2536,620,2087,1,887,500,567,568,563,0,0,24,150784,754,186992
access-opt-rxbvm-get-miss-ascii-64.csv,32423,1000,64,0,0,1064,0,8,2849,408,1120,1523,1,1387,1000,1067,1068,1063,0,0,24,150784,754,186992
access-opt-rxbvm-histogram-ascii-64.csv,190181,1003,1064,1100,0,2067,0,2001,10890,6407,2128,3550,1,5493,1003,2171,2172,2166,3,192,30,226176,1065,264120
access-opt-rxbvm-multi-tail-ascii-64.csv,67197,1000,128,1000,0,1128,1000,1604,7874,4880,1224,3504,1,516,1000,1132,1133,1128,0,0,42,281728,1282,317936
access-opt-rxbvm-reset-default-ascii-64.csv,31471,1,1064,1,0,65,0,9,2855,410,121,2526,2,1388,1,1068,1069,1064,0,0,30,281728,1282,317936
access-opt-rxbvm-reset-selective-ascii-64.csv,64522,500,1064,500,0,1064,500,1136,7105,4664,1120,4151,1,2387,500,1567,1568,1563,0,0,24,150784,754,186992
access-opt-rxbvm-set-existing-ascii-64.csv,32254,0,564,0,0,564,500,572,3477,2536,620,1587,1,1387,0,567,568,564,0,0,24,150784,737,182776
access-opt-rxbvm-set-new-ascii-64.csv,12806,0,164,0,0,164,0,28,2190,868,300,1143,3,687,0,167,168,164,100,3200,38,662656,2801,694648
access-opt-rxvm-get-hit-ascii-1024.csv,137625,500,1024,500,0,1524,500,2943,20699,13798,1780,12138,1,6647,500,1527,1528,1523,0,0,44,1341184,5554,1377392
access-opt-rxvm-get-hit-ascii-16.csv,48470,1000,16,1000,0,1016,1000,1000,5209,4096,1032,3131,1,1099,1000,1019,1020,1015,0,0,14,91264,514,127472
access-opt-rxvm-get-hit-ascii-256.csv,72188,1000,256,1000,0,1256,1000,1365,9059,6329,1449,5416,1,2539,1000,1259,1260,1255,0,0,34,388864,1714,425072
access-opt-rxvm-get-hit-collision-256.csv,71814,200,256,200,0,456,200,1343,6615,4820,514,3794,1,1739,200,459,460,455,2560,81920,34,388864,1714,425072
access-opt-rxvm-get-hit-long-64.csv,29556,500,64,500,0,564,500,540,3413,2469,623,2055,1,887,500,567,568,563,136,16000,24,150784,754,186992
access-opt-rxvm-get-hit-unicode-64.csv,29818,500,64,500,0,564,500,572,3477,2536,620,2087,1,887,500,567,568,563,0,0,24,150784,754,186992
access-opt-rxvm-get-miss-ascii-64.csv,32423,1000,64,0,0,1064,0,8,2849,408,1120,1523,1,1387,1000,1067,1068,1063,0,0,24,150784,754,186992
access-opt-rxvm-histogram-ascii-64.csv,190181,1003,1064,1100,0,2067,0,2001,10890,6407,2128,3550,1,5493,1003,2171,2172,2166,3,192,30,226176,1065,264120
access-opt-rxvm-multi-tail-ascii-64.csv,67197,1000,128,1000,0,1128,1000,1604,7874,4880,1224,3504,1,516,1000,1132,1133,1128,0,0,42,281728,1282,317936
access-opt-rxvm-reset-default-ascii-64.csv,31471,1,1064,1,0,65,0,9,2855,410,121,2526,2,1388,1,1068,1069,1064,0,0,30,281728,1282,317936
access-opt-rxvm-reset-selective-ascii-64.csv,64522,500,1064,500,0,1064,500,1136,7105,4664,1120,4151,1,2387,500,1567,1568,1563,0,0,24,150784,754,186992
access-opt-rxvm-set-existing-ascii-64.csv,32254,0,564,0,0,564,500,572,3477,2536,620,1587,1,1387,0,567,568,564,0,0,24,150784,737,182776
access-opt-rxvm-set-new-ascii-64.csv,12806,0,164,0,0,164,0,28,2190,868,300,1143,3,687,0,167,168,164,100,3200,38,662656,2801,694648
