section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,744,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,32423,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,197043,98521,584,196459,23.332118,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,1000,92375,92,83,1375,10.938244,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,2849,32379,11,0,83,3.834039,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,31209,15604,1917,29292,3.695498,,,,,,,,,,,,,,
instruction,RET_REG,,49,1003,30960,30,0,1541,3.666014,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2128,28635,13,0,84,3.390708,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,2298,26287,11,0,375,3.112678,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1065,22751,21,0,10083,2.693975,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,1120,22203,19,0,5666,2.629086,,,,,,,,,,,,,,
