section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,736,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,67197,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,289750,144875,542,289208,16.991564,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1130,214666,189,125,4625,12.588476,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,7874,109557,13,0,1542,6.424658,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,2325,96075,41,0,875,5.634045,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,4880,92448,18,0,2583,5.421350,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,4682,65022,13,0,1000,3.813030,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,3504,50306,14,0,2708,2.950052,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,3116,45931,14,0,1417,2.693493,,,,,,,,,,,,,,
instruction,RET_REG,,49,1004,37434,37,0,1375,2.195210,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,2326,37162,15,0,333,2.179260,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,34042,17021,1667,32375,1.996296,,,,,,,,,,,,,,
instruction,SWAP_REG_REG,,510,2194,32080,14,0,666,1.881240,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,1990,31936,16,0,1583,1.872796,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2256,31126,13,0,417,1.825296,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,2278,30402,13,0,209,1.782839,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,1224,30105,24,0,7750,1.765422,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,1261,26837,21,0,8000,1.573779,,,,,,,,,,,,,,
instruction,BR_ID,,36,1765,26736,15,0,2625,1.567857,,,,,,,,,,,,,,
instruction,IGT_REG_REG_INT,,105,1860,26172,14,0,83,1.534782,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1129,25962,22,0,10667,1.522468,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,1128,24209,21,0,1792,1.419668,,,,,,,,,,,,,,
instruction,SEQ_REG_REG_REG,,116,1604,23567,14,0,667,1.382020,,,,,,,,,,,,,,
instruction,CONCAT_REG_REG_REG,,134,1064,19453,18,0,2209,1.140766,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,1133,19340,17,0,3334,1.134139,,,,,,,,,,,,,,
instruction,RXHASH_REG_REG_REG,,513,1128,17830,15,0,1167,1.045590,,,,,,,,,,,,,,
instruction,LOADSETTPSWAP_REG_INT_REG_INT_REG,,269,1064,16869,15,0,375,0.989234,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1143,16386,14,0,833,0.960910,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1131,16034,14,0,292,0.940268,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,1128,16000,14,0,83,0.938274,,,,,,,,,,,,,,
instruction,IAND_REG_REG_INT,,169,1128,15955,14,0,84,0.935636,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1108,15938,14,0,916,0.934639,,,,,,,,,,,,,,
