section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,864,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,15396,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,MTIME_REG,,459,2,202832,101416,541,202291,32.435112,,,,,,,,,,,,,,
instruction,STEMSET_REG_REG_REG,,643,64,34211,534,0,25542,5.470723,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,2,29501,14750,2084,27417,4.717541,,,,,,,,,,,,,,
instruction,STEMGET_REG_REG_REG,,642,1000,22745,22,0,1625,3.637181,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,1128,22708,20,0,1459,3.631264,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,1130,20795,18,0,1958,3.325354,,,,,,,,,,,,,,
instruction,IGT_REG_REG_REG,,104,1066,19663,18,0,1375,3.144334,,,,,,,,,,,,,,
instruction,BR_ID,,36,1065,19504,18,0,2709,3.118908,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,1064,17371,16,0,250,2.777818,,,,,,,,,,,,,,
instruction,IMOD_REG_REG_REG,,25,1000,16839,16,0,417,2.692745,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,1064,16835,15,0,375,2.692105,,,,,,,,,,,,,,
instruction,STRLEN_REG_REG,,149,1000,16750,16,0,1125,2.678513,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,1078,16716,15,0,208,2.673076,,,,,,,,,,,,,,
instruction,ISUB_REG_REG_INT,,18,1000,16624,16,0,1208,2.658364,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,1000,16078,16,0,166,2.571053,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1014,15876,15,0,208,2.538750,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,5,15459,3091,42,15042,2.472068,,,,,,,,,,,,,,
instruction,SAY_REG,,450,6,15125,2520,2125,4042,2.418657,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,1000,14707,14,0,209,2.351814,,,,,,,,,,,,,,
instruction,NULL_REG,,14,1,7833,7833,7833,7833,1.252585,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,133,7796,58,41,500,1.246668,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,1,5458,5458,5458,5458,0.872795,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,194,5040,25,0,1166,0.805953,,,,,,,,,,,,,,
instruction,IGTE_REG_REG_INT,,108,4,4084,1021,0,4042,0.653077,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,4,3959,989,83,3500,0.633089,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,2,3750,1875,1250,2500,0.599667,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,90,3374,37,0,1042,0.539540,,,,,,,,,,,,,,
instruction,REQ_REG_REG_STRING,,564,32,3250,101,41,875,0.519711,,,,,,,,,,,,,,
instruction,CONCAT_REG_STRING_REG,,136,134,3043,22,0,334,0.486610,,,,,,,,,,,,,,
instruction,GETATTRS_REG_REG_INT,,215,4,2792,698,0,2666,0.446472,,,,,,,,,,,,,,
instruction,FTOS_REG,,230,1,2709,2709,2709,2709,0.433199,,,,,,,,,,,,,,
