section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,764,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,1851581,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,340297,4735599,13,0,6500,14.726396,,,,,,,,,,,,,,
instruction,ILT_REG_REG_INT,,111,140000,2104065,15,0,8834,6.543057,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,11069,1743862,157,83,7542,5.422926,,,,,,,,,,,,,,
instruction,LINKATTR1_REG_REG_INT,,203,100890,1448302,14,0,916,4.503816,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,95136,1393670,14,0,5209,4.333926,,,,,,,,,,,,,,
instruction,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,,281,10000,1353692,135,83,9042,4.209606,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,84152,1209902,14,0,12958,3.762459,,,,,,,,,,,,,,
instruction,BR_ID,,36,77146,1054995,13,0,4916,3.280741,,,,,,,,,,,,,,
instruction,FNDBLNK_REG_REG_REG,,165,65000,1049595,16,0,4667,3.263949,,,,,,,,,,,,,,
instruction,FNDNBLNK_REG_REG_REG,,166,65000,972769,14,0,458,3.025041,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_REG,,100,64998,946048,14,0,167,2.941946,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,60407,932865,15,0,1500,2.900951,,,,,,,,,,,,,,
instruction,ILT_REG_REG_REG,,110,65000,930434,14,0,1583,2.893391,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,51393,804097,15,0,958,2.500518,,,,,,,,,,,,,,
instruction,ICOPY_REG_REG,,9,56072,791525,14,0,209,2.461423,,,,,,,,,,,,,,
instruction,UNLINKN_REG_REG,,283,50265,743106,14,0,334,2.310853,,,,,,,,,,,,,,
instruction,BRTPANDT_ID_REG_INT,,524,31136,488076,15,0,9542,1.517781,,,,,,,,,,,,,,
instruction,ITOS_REG,,229,10133,483877,47,0,1458,1.504723,,,,,,,,,,,,,,
instruction,IGETUNLINK_REG_REG,,285,30210,477807,15,0,5625,1.485847,,,,,,,,,,,,,,
instruction,RET_REG,,49,11007,433804,39,0,834,1.349010,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,30550,430919,14,0,1750,1.340038,,,,,,,,,,,,,,
instruction,ASSERTINITIALIZED_REG,,85,20067,420239,20,0,4791,1.306826,,,,,,,,,,,,,,
instruction,STOI_REG_REG,,296,9998,405776,40,0,1375,1.261851,,,,,,,,,,,,,,
instruction,RNE_REG_REG_STRING,,567,10000,388911,38,0,11000,1.209405,,,,,,,,,,,,,,
instruction,RET,,48,10064,372155,36,0,1041,1.157299,,,,,,,,,,,,,,
instruction,NUMSCI_INT_INT_INT,,260,21072,360820,17,0,2833,1.122050,,,,,,,,,,,,,,
instruction,SWAPN_REG_REG_REG_REG,,264,20000,345321,17,0,375,1.073852,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,20128,336880,16,0,15583,1.047603,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,21011,331417,15,0,5375,1.030615,,,,,,,,,,,,,,
instruction,NULL_REG,,14,21068,321963,15,0,6833,1.001215,,,,,,,,,,,,,,
